Period,N,Proportion,ClauseType
-250,313,0.143315018,FiniteSubordinate
-250,125,0.057234432,Nonfinite
-250,198,0.090659341,Conjoined
-250,1548,0.708791209,Independent
250,431,0.092708109,FiniteSubordinate
250,541,0.116369112,Nonfinite
250,98,0.021079802,Conjoined
250,3579,0.769842977,Independent
750,468,0.120339419,FiniteSubordinate
750,445,0.114425302,Nonfinite
750,75,0.019285163,Conjoined
750,2901,0.745950116,Independent
1250,505,0.1636953,FiniteSubordinate
1250,322,0.104376013,Nonfinite
1250,31,0.010048622,Conjoined
1250,2227,0.721880065,Independent
1750,216,0.110655738,FiniteSubordinate
1750,183,0.09375,Nonfinite
1750,2,0.00102459,Conjoined
1750,1551,0.794569672,Independent
