File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
mxbt,1061,Handbook,133,84,19,765,6,217,790,1007
zzyl,1165,Philosophy,173,63,11,549,24,236,584,820
qnlh,1290,Novel,199,175,1,832,51,374,884,1258
shz,1610,Novel,97,96,1,802,40,193,843,1036
rlws,1728,Novel,119,87,1,681,28,206,710,916
sgz,256,Novel,168,318,25,1748,18,486,1791,2277
tpgj,324,Novel,263,223,73,1785,28,486,1886,2372
sjs,-364,Legal,313,125,198,1538,10,438,1746,2184
lyz,656,Novel,111,99,19,649,42,210,710,920
zgzy,710,Politics,263,221,42,1319,43,484,1404,1888
dclfz,793,Novel,54,45,1,257,5,99,263,362
hxyz,793,Novel,40,80,13,572,14,120,599,719
