Period,N,Proportion,ClauseType
800,106,0.560846561,FiniteSubordinate
800,7,0.037037037,Nonfinite
800,37,0.195767196,Conjoined
800,39,0.206349206,Independent
900,7760,0.626614987,FiniteSubordinate
900,469,0.037871447,Nonfinite
900,1306,0.105458656,Conjoined
900,2849,0.23005491,Independent
950,12176,0.454769553,FiniteSubordinate
950,794,0.029655636,Nonfinite
950,4391,0.16400239,Conjoined
950,9413,0.351572421,Independent
1000,32750,0.420038733,FiniteSubordinate
1000,1985,0.025458836,Nonfinite
1000,17568,0.22532032,Conjoined
1000,25666,0.329182111,Independent
1050,32433,0.412067388,FiniteSubordinate
1050,2017,0.025626366,Nonfinite
1050,18724,0.237891955,Conjoined
1050,25534,0.324414291,Independent
1100,1321,0.469438522,FiniteSubordinate
1100,48,0.017057569,Nonfinite
1100,550,0.195451315,Conjoined
1100,895,0.318052594,Independent
1150,6157,0.391293295,FiniteSubordinate
1150,400,0.025421036,Nonfinite
1150,4392,0.279122974,Conjoined
1150,4786,0.304162695,Independent
1200,12663,0.515867519,FiniteSubordinate
1200,1704,0.069417851,Nonfinite
1200,3221,0.131217664,Conjoined
1200,6959,0.283496965,Independent
1250,4407,0.492017417,FiniteSubordinate
1250,471,0.052584571,Nonfinite
1250,1269,0.141676901,Conjoined
1250,2810,0.313721112,Independent
1300,1027,0.558152174,FiniteSubordinate
1300,93,0.050543478,Nonfinite
1300,255,0.138586957,Conjoined
1300,465,0.252717391,Independent
1350,7998,0.438174547,FiniteSubordinate
1350,1084,0.059387498,Nonfinite
1350,3811,0.208787597,Conjoined
1350,5360,0.293650359,Independent
1400,26626,0.447473237,FiniteSubordinate
1400,4435,0.074534057,Nonfinite
1400,17443,0.293144883,Conjoined
1400,10999,0.184847823,Independent
1450,10194,0.386780999,FiniteSubordinate
1450,1810,0.068675065,Nonfinite
1450,7396,0.280619214,Conjoined
1450,6956,0.263924723,Independent
1500,6474,0.427891606,FiniteSubordinate
1500,1171,0.077395902,Nonfinite
1500,4323,0.285723728,Conjoined
1500,3162,0.208988764,Independent
1550,25534,0.456771793,FiniteSubordinate
1550,4543,0.081268671,Nonfinite
1550,10643,0.190390154,Conjoined
1550,15181,0.271569382,Independent
1600,25620,0.438128463,FiniteSubordinate
1600,5079,0.086856146,Nonfinite
1600,11155,0.190762022,Conjoined
1600,16622,0.284253369,Independent
1650,14787,0.488826446,FiniteSubordinate
1650,3418,0.112991736,Nonfinite
1650,5090,0.168264463,Conjoined
1650,6955,0.229917355,Independent
1700,30302,0.452626705,FiniteSubordinate
1700,6822,0.101901504,Nonfinite
1700,8523,0.127309663,Conjoined
1700,21300,0.318162128,Independent
1750,30532,0.441233001,FiniteSubordinate
1750,6611,0.095538824,Nonfinite
1750,8861,0.128054684,Conjoined
1750,23193,0.33517349,Independent
1800,29660,0.378615742,FiniteSubordinate
1800,7815,0.099760014,Nonfinite
1800,8981,0.114644234,Conjoined
1800,31882,0.40698001,Independent
1850,30950,0.3690895,FiniteSubordinate
1850,8108,0.096690716,Nonfinite
1850,9131,0.108890346,Conjoined
1850,35666,0.425329438,Independent
1900,21298,0.354694734,FiniteSubordinate
1900,5864,0.097658462,Nonfinite
1900,9357,0.15583053,Conjoined
1900,23527,0.391816274,Independent
