File,Hits,Tokens,Total
ABOTT-E1,13,13,35
ADAMS-1787-2,385,385,793
ALBIN-1736-1,176,176,693
ALHATTON-E3,50,50,91
ALHATTON2-E3,43,43,103
AMBASS-E1,107,107,130
ANDREWS1-1785-2,349,349,820
ANDREWS2-1796-2,340,340,730
ANHATTON-E3,136,136,241
ANON1-1711-1,396,396,621
ANON2-1732-2,389,389,539
ANON3-1772-2,532,532,929
ANON4-1791-2,383,383,916
APLUMPT-E1,112,112,229
APOOLE-E1,2,2,10
ARMIN-E2,800,800,1986
ASCH-E1,739,739,1219
AUNGIER-E3,154,154,252
AUSTEN-180X-1,426,426,1101
AUSTEN-1815-2,355,355,1093
AUSTEN-181X-2,449,449,1120
AUTHNEW-E2,2088,2088,5165
AUTHOLD-E2,1240,1240,3444
BACON-E2,1024,1024,1467
BAIN-1878-1,307,307,745
BAKER-1742-2,385,385,778
BARCLAY-1743-1,502,502,931
BARCLAY-1743-2,90,90,162
BARDSLEY-1807-1,188,188,531
BARTON-GRESSWELL-1906-2,212,212,671
BEALE-1898-2,348,348,846
BEDDINGFIELD-1763-2,310,310,1054
BEDYLL-E1,31,31,42
BEHN-E3,1155,1155,1816
BELL-1911-2,393,393,1065
BENNETT-1911-2,343,343,1094
BENSON-1908-1,527,527,953
BENSON-190X-1,292,292,995
BLUNDEV-E2,944,944,1531
BOETHCO-E1,2365,2365,3729
BOETHEL-E2,1726,1726,2969
BOETHJA-1897-1,582,582,998
BOETHJA-1897-2,1069,1069,1946
BOETHPR-E3,2012,2012,3365
BOETHRI-1785-1,682,682,1113
BOETHRI-1785-2,1402,1402,2401
BOSWELL-1768-2,401,401,824
BOSWELL-1776-1,348,348,1157
BOSWELL-1783-2,409,409,1156
BOSWELL-178X-2,518,518,1058
BOSWELL-1791-2,539,539,1004
BOYLE-E3,675,675,851
BOYLECOL-E3,417,417,562
BRACKEN-1738-2,526,526,799
BRADLEY1-1905-1,390,390,808
BRADLEY2-1760-2,281,281,916
BRADY-1713-2,556,556,836
BRIGHTLAND-1711-1,51,51,82
BRINSLEY-E2,945,945,1404
BRONTE-1848-2,394,394,1298
BROUGH-1867-2,367,367,1172
BROUGHAM1-1861-1,295,295,1139
BROUGHAM2-1825-2,343,343,699
BURNETCHA-E3,1091,1091,2073
BURNETROC-E3,1374,1374,2052
BURNEY-1768-2,449,449,1177
BURNEY-1782-2,477,477,1110
BURNEY-1792-2,456,456,1093
BURTON1-1762-1,358,358,708
BURTON2-1857-2,272,272,798
BUTLER-1726-1,470,470,779
CAPEL-E3,106,106,165
CARLYLE-1835-1,466,466,1069
CARLYLE-1837-1,260,260,762
CARLYLE-1858-2,329,329,753
CENTLIVRE-1723-2,373,373,1282
CHAPLAIN-E1,219,219,487
CHAPMAN-1774-1,369,369,696
CHARLES-1650-E3,85,85,113
CHARLES-1670-E3,70,70,102
CHATTON-E3,102,102,201
CIBBER-1740-1,581,581,884
CLARKE-1730-2,451,451,733
CLOWES-E2,958,958,1641
CLOWESOBS-E2,75,75,147
CMAELR3-M23,1027,1027,1650
CMAELR4-M4,662,662,1125
CMANCRIW-1-M1,3241,3241,5975
CMANCRIW-2-M1,921,921,1859
CMASTRO-M3,283,283,506
CMAYENBI-M2,3324,3324,5729
CMBENRUL-M3,1367,1367,2332
CMBOETH-M3,817,817,1265
CMBRUT3-M3,2900,2900,6462
CMCAPCHR-M4,2217,2217,6087
CMCAPSER-M4,72,72,159
CMCLOUD-M3,959,959,1561
CMCTMELI-M3,1179,1179,2026
CMCTPARS-M3,1980,1980,3491
CMEARLPS-M2,1078,1078,5101
CMEDMUND-M4,134,134,437
CMEDTHOR-M34,850,850,1552
CMEDVERN-M3,812,812,1471
CMEQUATO-M3,222,222,371
CMFITZJA-M4,255,255,460
CMGAYTRY-M34,427,427,590
CMGREGOR-M4,814,814,2901
CMHALI-M1,686,686,1106
CMHILTON-M34,310,310,464
CMHORSES-M3,326,326,486
CMINNOCE-M4,183,183,328
CMJULIA-M1,452,452,916
CMJULNOR-M34,320,320,657
CMKATHE-M1,642,642,1117
CMKEMPE-M4,3745,3745,7649
CMKENTHO-M1,304,304,597
CMKENTSE-M2,245,245,438
CMLAMB1-M1,371,371,769
CMLAMBX1-MX1,1425,1425,2690
CMMALORY-M4,2582,2582,7428
CMMANDEV-M3,2737,2737,5937
CMMARGA-M1,540,540,1050
CMMIRK-M34,3831,3831,7291
CMNTEST-M3,677,677,1957
CMORM-M1,3530,3530,5955
CMOTEST-M3,465,465,1218
CMPETERB-M1,274,274,898
CMPOLYCH-M3,1770,1770,5226
CMPURVEY-M3,1908,1908,4248
CMREYNAR-M4,534,534,1215
CMREYNES-M4,271,271,618
CMROLLEP-M24,1325,1325,2162
CMROLLTR-M24,994,994,1818
CMROYAL-M34,336,336,673
CMSAWLES-M1,296,296,544
CMSIEGE-M4,305,305,1052
CMTHORN-MX4,120,120,193
CMTRINIT-MX1,2607,2607,4967
CMVICES1-M1,2114,2114,3504
CMVICES4-M34,520,520,855
CMWYCSER-M3,3569,3569,7283
coadrian,53,53,226
coaelhom,4180,4180,8382
coaelive,5921,5921,14134
coalcuin,401,401,810
coalex,396,396,913
coapollo,378,378,1058
coaugust,9,9,12
COBBETT-1838-2,308,308,622
cobede,5220,5220,9935
cobenrul,1444,1444,2563
coblick,2629,2629,5741
coboeth,4290,4290,7470
cobyrhtf,386,386,953
cocanedgD,230,230,304
cocanedgX,254,254,349
cocathom1,6589,6589,14938
cocathom2,5494,5494,13516
cochad,201,201,361
cochdrul,1370,1370,2360
cochristoph,95,95,203
cochronA,437,437,1872
cochronC,708,708,2805
cochronD,895,895,3361
cochronE,1463,1463,4961
cocura,6847,6847,10303
cocuraC,202,202,318
codicts,208,208,374
codocu1,106,106,182
codocu2,119,119,234
codocu3,382,382,745
codocu4,1,1,6
coeluc1,129,129,223
coeluc2,39,39,67
coepigen,64,64,129
coeuphr,214,214,609
coeust,346,346,874
coexodusP,46,46,189
cogenesiC,293,293,913
cogregdC,6615,6615,12374
cogregdH,1950,1950,3583
coherbar,901,901,3380
coinspolD,195,195,332
coinspolX,405,405,674
cojames,98,98,257
colacnu,174,174,1011
colaece,1306,1306,5307
colaw1cn,169,169,298
colaw2cn,431,431,707
colaw5atr,71,71,147
colaw6atr,177,177,277
colawaf,320,320,512
colawafint,190,190,331
colawger,42,42,74
colawine,276,276,440
colawnorthu,131,131,215
colawwllad,16,16,26
coleofri,52,52,146
COLERIDGE-1825-2,438,438,808
COLLIER-1835-1,287,287,1152
COLMAN-1805-1,343,343,1168
colsigef,107,107,168
colsigewB,199,199,408
colsigewZ,624,624,1244
colwgeat,179,179,306
colwsigeT,22,22,38
colwsigeXa,244,244,424
colwstan1,277,277,551
colwstan2,260,260,504
comargaC,231,231,627
comargaT,190,190,560
comart1,69,69,184
comart2,233,233,602
comart3,1201,1201,3397
comarvel,115,115,271
comary,443,443,1002
COMMISS-E3,22,22,41
coneot,100,100,262
conicodA,569,569,1318
conicodC,300,300,743
conicodD,111,111,272
conicodE,109,109,235
CONWAY-E2,40,40,57
CONWAY2-E3,113,113,201
COOK1-1776-1,296,296,997
COOK2-1901-2,231,231,648
COOKE1-1712-1,393,393,908
COOKE2-1770-2,249,249,600
coorosiu,3628,3628,6773
cootest,3226,3226,9692
coprefcath1,89,89,148
coprefcath2,14,14,26
coprefcura,82,82,118
coprefgen,96,96,173
copreflives,34,34,53
coprefsolilo,38,38,52
coquadru,150,150,646
corood,475,475,1089
cosevensl,642,642,1259
cosolilo,1496,1496,2636
cosolsat1,59,59,359
cosolsat2,56,56,141
cotempo,319,319,656
