File,Hits,Tokens,Total
abott-e1,6,6,28
adams-1787-2,75,75,479
albin-1736-1,26,26,839
alhatton-e3,19,19,47
alhatton2-e3,17,17,73
ambass-e1,18,18,30
andrews1-1785-2,149,149,490
andrews2-1796-2,117,116,441
anhatton-e3,30,30,123
anon1-1711-1,73,72,238
anon2-1732-2,80,79,171
anon3-1772-2,130,130,412
anon4-1791-2,123,123,549
aplumpt-e1,37,37,167
apoole-e1,3,3,15
armin-e2,265,261,1304
asch-e1,166,162,595
aungier-e3,51,50,131
austen-180x-1,177,177,741
austen-1815-2,157,155,817
austen-181x-2,146,146,829
authnew-e2,232,231,4412
authold-e2,209,207,3503
bacon-e2,163,156,491
bain-1878-1,111,111,488
baker-1742-2,86,85,475
barclay-1743-1,130,130,475
barclay-1743-2,21,21,84
bardsley-1807-1,109,106,422
barton-gresswell-1906-2,79,79,585
beale-1898-2,134,130,534
beddingfield-1763-2,73,72,1058
bedyll-e1,4,4,16
behn-e3,274,270,687
bell-1911-2,104,104,665
bennett-1911-2,116,115,1026
benson-1908-1,174,172,458
benson-190x-1,101,101,929
blundev-e2,188,174,957
boethco-e1,381,349,1991
boethel-e2,195,195,1519
boethja-1897-1,91,91,459
boethja-1897-2,167,167,1008
boethpr-e3,297,293,1616
boethri-1785-1,93,92,456
boethri-1785-2,198,198,1173
boswell-1768-2,117,117,438
boswell-1776-1,141,141,882
boswell-1783-2,142,142,930
boswell-178x-2,149,147,654
boswell-1791-2,117,113,481
boyle-e3,104,103,268
boylecol-e3,66,65,191
bracken-1738-2,97,95,319
bradley1-1905-1,103,101,436
bradley2-1760-2,82,81,850
brady-1713-2,118,117,327
brightland-1711-1,13,13,47
brinsley-e2,224,219,689
bronte-1848-2,196,195,908
brough-1867-2,116,115,1073
brougham1-1861-1,122,122,1186
brougham2-1825-2,121,121,374
burnetcha-e3,259,259,1017
burnetroc-e3,243,239,696
burney-1768-2,134,134,831
burney-1782-2,141,140,682
burney-1792-2,145,143,660
burton1-1762-1,59,58,422
burton2-1857-2,96,95,560
butler-1726-1,80,78,347
capel-e3,29,29,89
carlyle-1835-1,111,108,697
carlyle-1837-1,59,58,625
carlyle-1858-2,97,95,468
centlivre-1723-2,116,116,1202
chaplain-e1,23,23,321
chapman-1774-1,113,110,383
charles-1650-e3,10,10,45
charles-1670-e3,14,14,67
chatton-e3,29,29,141
cibber-1740-1,127,127,343
clarke-1730-2,113,111,314
clowes-e2,208,204,961
clowesobs-e2,15,14,109
cmaelr3-m23,93,89,1049
cmaelr4-m4,72,68,768
cmancriw-1-m1,323,318,3558
cmancriw-2-m1,127,122,1163
cmastro-m3,45,45,404
cmayenbi-m2,444,430,2755
cmbenrul-m3,174,171,1454
cmboeth-m3,111,102,564
cmbrut3-m3,536,533,4117
cmcapchr-m4,368,367,4176
cmcapser-m4,13,13,91
cmcloud-m3,131,129,814
cmctmeli-m3,227,221,861
cmctpars-m3,295,285,1667
cmearlps-m2,79,79,7869
cmedmund-m4,47,47,299
cmedthor-m34,170,154,792
cmedvern-m3,138,124,930
cmequato-m3,16,14,341
cmfitzja-m4,42,42,225
cmgaytry-m34,70,70,199
cmgregor-m4,207,203,2632
cmhali-m1,64,63,501
