File,Hits,Tokens,Total
ABOTT-E1,12,12,35
ADAMS-1787-2,74,74,793
ALBIN-1736-1,22,22,693
ALHATTON-E3,15,15,91
ALHATTON2-E3,20,20,103
AMBASS-E1,7,7,130
ANDREWS1-1785-2,92,92,820
ANDREWS2-1796-2,107,107,730
ANHATTON-E3,29,29,241
ANON1-1711-1,101,101,621
ANON2-1732-2,39,39,539
ANON3-1772-2,172,172,929
ANON4-1791-2,112,112,916
APLUMPT-E1,80,80,229
APOOLE-E1,3,3,10
ARMIN-E2,472,472,1986
ASCH-E1,212,212,1219
AUNGIER-E3,44,44,252
AUSTEN-180X-1,209,209,1101
AUSTEN-1815-2,163,163,1093
AUSTEN-181X-2,177,177,1120
AUTHNEW-E2,1610,1610,5165
AUTHOLD-E2,1520,1520,3444
BACON-E2,253,253,1467
BAIN-1878-1,75,75,745
BAKER-1742-2,126,126,778
BARCLAY-1743-1,108,108,931
BARCLAY-1743-2,18,18,162
BARDSLEY-1807-1,89,89,531
BARTON-GRESSWELL-1906-2,84,84,671
BEALE-1898-2,120,120,846
BEDDINGFIELD-1763-2,61,61,1054
BEDYLL-E1,2,2,42
BEHN-E3,361,361,1816
BELL-1911-2,281,281,1065
BENNETT-1911-2,89,89,1094
BENSON-1908-1,141,141,953
BENSON-190X-1,173,173,995
BLUNDEV-E2,275,275,1531
BOETHCO-E1,604,604,3729
BOETHEL-E2,474,474,2969
BOETHJA-1897-1,119,119,998
BOETHJA-1897-2,197,197,1946
BOETHPR-E3,504,504,3365
BOETHRI-1785-1,136,136,1113
BOETHRI-1785-2,265,265,2401
BOSWELL-1768-2,146,146,824
BOSWELL-1776-1,187,187,1157
BOSWELL-1783-2,187,187,1156
BOSWELL-178X-2,118,118,1058
BOSWELL-1791-2,126,126,1004
BOYLE-E3,113,113,851
BOYLECOL-E3,102,102,562
BRACKEN-1738-2,162,162,799
BRADLEY1-1905-1,160,160,808
BRADLEY2-1760-2,175,175,916
BRADY-1713-2,114,114,836
BRIGHTLAND-1711-1,5,5,82
BRINSLEY-E2,123,123,1404
BRONTE-1848-2,292,292,1298
BROUGH-1867-2,87,87,1172
BROUGHAM1-1861-1,77,77,1139
BROUGHAM2-1825-2,112,112,699
BURNETCHA-E3,383,383,2073
BURNETROC-E3,278,278,2052
BURNEY-1768-2,182,182,1177
BURNEY-1782-2,207,207,1110
BURNEY-1792-2,167,167,1093
BURTON1-1762-1,99,99,708
BURTON2-1857-2,124,124,798
BUTLER-1726-1,91,91,779
CAPEL-E3,30,30,165
CARLYLE-1835-1,142,142,1069
CARLYLE-1837-1,65,65,762
CARLYLE-1858-2,118,118,753
CENTLIVRE-1723-2,97,97,1282
CHAPLAIN-E1,137,137,487
CHAPMAN-1774-1,97,97,696
CHARLES-1650-E3,14,14,113
CHARLES-1670-E3,16,16,102
CHATTON-E3,45,45,201
CIBBER-1740-1,76,76,884
CLARKE-1730-2,95,95,733
CLOWES-E2,312,312,1641
CLOWESOBS-E2,31,31,147
CMAELR3-M23,255,255,1650
CMAELR4-M4,118,118,1125
CMANCRIW-1-M1,913,913,5975
CMANCRIW-2-M1,276,276,1859
CMASTRO-M3,103,103,506
CMAYENBI-M2,948,948,5729
CMBENRUL-M3,194,194,2332
CMBOETH-M3,256,256,1265
CMBRUT3-M3,2889,2889,6462
CMCAPCHR-M4,1586,1586,6087
CMCAPSER-M4,31,31,159
CMCLOUD-M3,325,325,1561
CMCTMELI-M3,514,514,2026
CMCTPARS-M3,705,705,3491
CMEARLPS-M2,1705,1705,5101
CMEDMUND-M4,258,258,437
CMEDTHOR-M34,352,352,1552
CMEDVERN-M3,207,207,1471
CMEQUATO-M3,74,74,371
CMFITZJA-M4,63,63,460
CMGAYTRY-M34,60,60,590
CMGREGOR-M4,1721,1721,2901
CMHALI-M1,191,191,1106
CMHILTON-M34,95,95,464
CMHORSES-M3,84,84,486
CMINNOCE-M4,61,61,328
CMJULIA-M1,232,232,916
CMJULNOR-M34,191,191,657
CMKATHE-M1,242,242,1117
CMKEMPE-M4,2107,2107,7649
CMKENTHO-M1,119,119,597
CMKENTSE-M2,80,80,438
CMLAMB1-M1,150,150,769
CMLAMBX1-MX1,479,479,2690
CMMALORY-M4,3060,3060,7428
CMMANDEV-M3,2593,2593,5937
CMMARGA-M1,263,263,1050
CMMIRK-M34,1963,1963,7291
CMNTEST-M3,645,645,1957
CMORM-M1,55,55,5955
CMOTEST-M3,462,462,1218
CMPETERB-M1,356,356,898
CMPOLYCH-M3,1830,1830,5226
CMPURVEY-M3,1486,1486,4248
CMREYNAR-M4,240,240,1215
CMREYNES-M4,130,130,618
CMROLLEP-M24,379,379,2162
CMROLLTR-M24,367,367,1818
CMROYAL-M34,134,134,673
CMSAWLES-M1,131,131,544
CMSIEGE-M4,515,515,1052
CMTHORN-MX4,18,18,193
CMTRINIT-MX1,1176,1176,4967
CMVICES1-M1,302,302,3504
CMVICES4-M34,153,153,855
CMWYCSER-M3,2758,2758,7283
coadrian,11,11,226
coaelhom,1831,1831,8382
coaelive,3715,3715,14134
coalcuin,97,97,810
coalex,240,240,913
coapollo,284,284,1058
coaugust,0,0,12
COBBETT-1838-2,110,110,622
cobede,2048,2048,9935
cobenrul,282,282,2563
coblick,1349,1349,5741
coboeth,898,898,7470
cobyrhtf,141,141,953
cocanedgD,68,68,304
cocanedgX,86,86,349
cocathom1,2869,2869,14938
cocathom2,2739,2739,13516
cochad,84,84,361
cochdrul,432,432,2360
cochristoph,54,54,203
cochronA,883,883,1872
cochronC,1360,1360,2805
cochronD,1695,1695,3361
cochronE,2235,2235,4961
cocura,1112,1112,10303
cocuraC,51,51,318
codicts,30,30,374
codocu1,37,37,182
codocu2,56,56,234
codocu3,192,192,745
codocu4,0,0,6
coeluc1,45,45,223
coeluc2,1,1,67
