File,Hits,Tokens,Total
ABOTT-E1,10,10,35
ADAMS-1787-2,334,334,793
ALBIN-1736-1,495,495,693
ALHATTON-E3,26,26,91
ALHATTON2-E3,40,40,103
AMBASS-E1,16,16,130
ANDREWS1-1785-2,379,379,820
ANDREWS2-1796-2,283,283,730
ANHATTON-E3,76,76,241
ANON1-1711-1,124,124,621
ANON2-1732-2,111,111,539
ANON3-1772-2,225,225,929
ANON4-1791-2,421,421,916
APLUMPT-E1,37,37,229
APOOLE-E1,5,5,10
ARMIN-E2,714,714,1986
ASCH-E1,268,268,1219
AUNGIER-E3,54,54,252
AUSTEN-180X-1,465,465,1101
AUSTEN-1815-2,575,575,1093
AUSTEN-181X-2,494,494,1120
AUTHNEW-E2,1467,1467,5165
AUTHOLD-E2,684,684,3444
BACON-E2,190,190,1467
BAIN-1878-1,363,363,745
BAKER-1742-2,267,267,778
BARCLAY-1743-1,321,321,931
BARCLAY-1743-2,54,54,162
BARDSLEY-1807-1,254,254,531
BARTON-GRESSWELL-1906-2,375,375,671
BEALE-1898-2,378,378,846
BEDDINGFIELD-1763-2,683,683,1054
BEDYLL-E1,9,9,42
BEHN-E3,300,300,1816
BELL-1911-2,391,391,1065
BENNETT-1911-2,662,662,1094
BENSON-1908-1,285,285,953
BENSON-190X-1,530,530,995
BLUNDEV-E2,312,312,1531
BOETHCO-E1,760,760,3729
BOETHEL-E2,769,769,2969
BOETHJA-1897-1,297,297,998
BOETHJA-1897-2,680,680,1946
BOETHPR-E3,849,849,3365
BOETHRI-1785-1,295,295,1113
BOETHRI-1785-2,734,734,2401
BOSWELL-1768-2,277,277,824
BOSWELL-1776-1,622,622,1157
BOSWELL-1783-2,560,560,1156
BOSWELL-178X-2,422,422,1058
BOSWELL-1791-2,339,339,1004
BOYLE-E3,63,63,851
BOYLECOL-E3,43,43,562
BRACKEN-1738-2,111,111,799
BRADLEY1-1905-1,258,258,808
BRADLEY2-1760-2,460,460,916
BRADY-1713-2,166,166,836
BRIGHTLAND-1711-1,26,26,82
BRINSLEY-E2,336,336,1404
BRONTE-1848-2,612,612,1298
BROUGH-1867-2,718,718,1172
BROUGHAM1-1861-1,767,767,1139
BROUGHAM2-1825-2,244,244,699
BURNETCHA-E3,599,599,2073
BURNETROC-E3,400,400,2052
BURNEY-1768-2,546,546,1177
BURNEY-1782-2,426,426,1110
BURNEY-1792-2,470,470,1093
BURTON1-1762-1,251,251,708
BURTON2-1857-2,402,402,798
BUTLER-1726-1,218,218,779
CAPEL-E3,29,29,165
CARLYLE-1835-1,459,459,1069
CARLYLE-1837-1,437,437,762
CARLYLE-1858-2,306,306,753
CENTLIVRE-1723-2,812,812,1282
CHAPLAIN-E1,131,131,487
CHAPMAN-1774-1,230,230,696
CHARLES-1650-E3,14,14,113
CHARLES-1670-E3,16,16,102
CHATTON-E3,54,54,201
CIBBER-1740-1,227,227,884
CLARKE-1730-2,187,187,733
CLOWES-E2,371,371,1641
CLOWESOBS-E2,41,41,147
CMAELR3-M23,368,368,1650
CMAELR4-M4,345,345,1125
CMANCRIW-1-M1,1821,1821,5975
CMANCRIW-2-M1,662,662,1859
CMASTRO-M3,120,120,506
CMAYENBI-M2,1457,1457,5729
CMBENRUL-M3,771,771,2332
CMBOETH-M3,192,192,1265
CMBRUT3-M3,673,673,6462
CMCAPCHR-M4,2284,2284,6087
CMCAPSER-M4,56,56,159
CMCLOUD-M3,277,277,1561
CMCTMELI-M3,333,333,2026
CMCTPARS-M3,806,806,3491
CMEARLPS-M2,2318,2318,5101
CMEDMUND-M4,45,45,437
CMEDTHOR-M34,350,350,1552
CMEDVERN-M3,452,452,1471
CMEQUATO-M3,75,75,371
CMFITZJA-M4,142,142,460
CMGAYTRY-M34,103,103,590
CMGREGOR-M4,366,366,2901
CMHALI-M1,229,229,1106
CMHILTON-M34,59,59,464
CMHORSES-M3,76,76,486
CMINNOCE-M4,84,84,328
CMJULIA-M1,232,232,916
CMJULNOR-M34,146,146,657
CMKATHE-M1,233,233,1117
CMKEMPE-M4,1796,1796,7649
CMKENTHO-M1,174,174,597
CMKENTSE-M2,113,113,438
CMLAMB1-M1,248,248,769
CMLAMBX1-MX1,786,786,2690
