File,Hits,Tokens,Total
ABOTT-E1,0,0,13
ADAMS-1787-2,0,0,385
ALBIN-1736-1,0,0,176
ALHATTON-E3,0,0,50
ALHATTON2-E3,0,0,43
AMBASS-E1,0,0,107
ANDREWS1-1785-2,26,26,375
ANDREWS2-1796-2,9,9,349
ANHATTON-E3,1,1,137
ANON1-1711-1,8,8,404
ANON2-1732-2,0,0,389
ANON3-1772-2,0,0,532
ANON4-1791-2,1,1,384
APLUMPT-E1,0,0,112
APOOLE-E1,0,0,2
ARMIN-E2,43,43,843
ASCH-E1,7,7,746
AUNGIER-E3,0,0,154
AUSTEN-180X-1,12,12,439
AUSTEN-1815-2,46,46,401
AUSTEN-181X-2,19,19,468
AUTHNEW-E2,216,216,2304
AUTHOLD-E2,77,77,1317
BACON-E2,5,5,1029
BAIN-1878-1,4,4,311
BAKER-1742-2,5,5,390
BARCLAY-1743-1,10,10,512
BARCLAY-1743-2,4,4,94
BARDSLEY-1807-1,0,0,188
BARTON-GRESSWELL-1906-2,3,3,215
BEALE-1898-2,5,5,353
BEDDINGFIELD-1763-2,188,188,498
BEDYLL-E1,0,0,31
BEHN-E3,3,3,1158
BELL-1911-2,14,14,407
BENNETT-1911-2,91,91,434
BENSON-1908-1,1,1,528
BENSON-190X-1,19,19,311
BLUNDEV-E2,43,43,987
BOETHCO-E1,271,271,2636
BOETHEL-E2,268,268,1994
BOETHJA-1897-1,46,46,628
BOETHJA-1897-2,192,192,1261
BOETHPR-E3,288,288,2300
BOETHRI-1785-1,62,62,744
BOETHRI-1785-2,243,243,1645
BOSWELL-1768-2,0,0,401
BOSWELL-1776-1,7,7,355
BOSWELL-1783-2,1,1,410
BOSWELL-178X-2,27,27,545
BOSWELL-1791-2,6,6,545
BOYLE-E3,0,0,675
BOYLECOL-E3,1,1,418
BRACKEN-1738-2,4,4,530
BRADLEY1-1905-1,6,6,396
BRADLEY2-1760-2,0,0,281
BRADY-1713-2,21,21,577
BRIGHTLAND-1711-1,6,6,57
BRINSLEY-E2,10,10,955
BRONTE-1848-2,36,36,430
BROUGH-1867-2,141,141,508
BROUGHAM1-1861-1,153,153,448
BROUGHAM2-1825-2,2,2,345
BURNETCHA-E3,0,0,1091
BURNETROC-E3,11,11,1385
BURNEY-1768-2,56,56,505
BURNEY-1782-2,62,62,539
BURNEY-1792-2,36,36,492
BURTON1-1762-1,36,36,394
BURTON2-1857-2,5,5,277
BUTLER-1726-1,13,13,483
CAPEL-E3,0,0,106
CARLYLE-1835-1,12,12,480
CARLYLE-1837-1,32,32,292
CARLYLE-1858-2,18,18,347
CENTLIVRE-1723-2,180,180,553
CHAPLAIN-E1,0,0,219
CHAPMAN-1774-1,28,28,397
CHARLES-1650-E3,0,0,85
CHARLES-1670-E3,0,0,70
CHATTON-E3,0,0,102
CIBBER-1740-1,28,28,609
CLARKE-1730-2,24,24,475
CLOWES-E2,3,3,961
CLOWESOBS-E2,0,0,75
CMAELR3-M23,97,97,1124
CMAELR4-M4,48,48,710
CMANCRIW-1-M1,138,138,3379
CMANCRIW-2-M1,72,72,993
CMASTRO-M3,1,1,284
CMAYENBI-M2,40,40,3364
CMBENRUL-M3,8,8,1375
CMBOETH-M3,55,55,872
CMBRUT3-M3,7,7,2907
CMCAPCHR-M4,3,3,2220
CMCAPSER-M4,1,1,73
CMCLOUD-M3,26,26,985
CMCTMELI-M3,11,11,1190
CMCTPARS-M3,21,21,2001
CMEARLPS-M2,132,132,1210
CMEDMUND-M4,3,3,137
CMEDTHOR-M34,15,15,865
CMEDVERN-M3,15,15,827
CMEQUATO-M3,0,0,222
CMFITZJA-M4,3,3,258
CMGAYTRY-M34,1,1,428
CMGREGOR-M4,2,2,816
CMHALI-M1,22,22,708
CMHILTON-M34,0,0,310
CMHORSES-M3,0,0,326
CMINNOCE-M4,3,3,186
CMJULIA-M1,19,19,471
CMJULNOR-M34,9,9,329
CMKATHE-M1,20,20,662
CMKEMPE-M4,91,91,3837
CMKENTHO-M1,36,36,340
CMKENTSE-M2,4,4,249
CMLAMB1-M1,12,12,383
CMLAMBX1-MX1,45,45,1470
CMMALORY-M4,138,138,2720
CMMANDEV-M3,1,1,2738
CMMARGA-M1,10,10,550
CMMIRK-M34,42,42,3873
CMNTEST-M3,111,111,788
CMORM-M1,30,30,3560
CMOTEST-M3,21,21,486
CMPETERB-M1,0,0,274
CMPOLYCH-M3,17,17,1787
CMPURVEY-M3,14,14,1922
CMREYNAR-M4,46,46,580
CMREYNES-M4,3,3,274
CMROLLEP-M24,15,15,1340
CMROLLTR-M24,14,14,1008
CMROYAL-M34,26,26,362
CMSAWLES-M1,6,6,302
CMSIEGE-M4,0,0,305
CMTHORN-MX4,0,0,120
CMTRINIT-MX1,24,24,2631
CMVICES1-M1,37,37,2151
CMVICES4-M34,3,3,523
CMWYCSER-M3,85,85,3654
coadrian,44,44,97
coaelhom,123,123,4304
coaelive,134,134,6055
coalcuin,18,18,419
coalex,2,2,398
coapollo,29,29,407
coaugust,0,0,9
COBBETT-1838-2,4,4,313
cobede,57,57,5277
cobenrul,11,11,1455
coblick,102,102,2731
coboeth,323,323,4613
cobyrhtf,2,2,388
cocanedgD,0,0,230
cocanedgX,0,0,254
cocathom1,195,195,6784
cocathom2,182,182,5676
cochad,2,2,204
cochdrul,24,24,1394
cochristoph,6,6,101
cochronA,0,0,437
cochronC,0,0,708
cochronD,0,0,895
cochronE,3,3,1466
cocura,97,97,6944
cocuraC,0,0,202
codicts,2,2,210
codocu1,0,0,106
codocu2,2,2,121
codocu3,0,0,382
codocu4,0,0,1
coeluc1,17,17,146
coeluc2,10,10,49
coepigen,0,0,64
coeuphr,30,30,244
coeust,14,14,360
coexodusP,4,4,50
