File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
ABOTT-E1,1530,Letters,13,6,12,10,0,19,22,41
ADAMS-1787-2,1787,Non-fiction,385,75,74,334,0,460,408,868
ALBIN-1736-1,1736,Non-fiction,176,26,22,495,0,202,517,719
ALHATTON-E3,1700,Letters,50,19,15,26,0,69,41,110
ALHATTON2-E3,1687,Letters,43,17,20,40,0,60,60,120
AMBASS-E1,1525,Letters,107,18,7,16,0,125,23,148
ANDREWS1-1785-2,1785,Non-fiction,349,149,92,379,26,498,497,995
ANDREWS2-1796-2,1796,Non-fiction,340,117,107,283,9,457,399,856
ANHATTON-E3,1693,Letters,136,30,29,76,1,166,106,272
ANON1-1711-1,1711,Non-fiction,396,73,101,124,8,469,233,702
ANON2-1732-2,1732,Non-fiction,389,80,39,111,0,469,150,619
ANON3-1772-2,1772,Non-fiction,532,130,172,225,0,662,397,1059
ANON4-1791-2,1791,Non-fiction,383,123,112,421,1,506,534,1040
APLUMPT-E1,1503,Letters,112,37,80,37,0,149,117,266
APOOLE-E1,1552,Letters,2,3,3,5,0,5,8,13
ARMIN-E2,1608,Fiction,800,265,472,714,43,1065,1229,2294
ASCH-E1,1566,Non-fiction,739,166,212,268,7,905,487,1392
AUNGIER-E3,1674,Letters,154,51,44,54,0,205,98,303
AUSTEN-180X-1,1807,Letters,426,177,209,465,12,603,686,1289
AUSTEN-1815-2,1815,Fiction,355,157,163,575,46,512,784,1296
AUSTEN-181X-2,1817,Letters,449,146,177,494,19,595,690,1285
AUTHNEW-E2,1611,Bible,2088,232,1610,1467,216,2320,3293,5613
AUTHOLD-E2,1611,Bible,1240,209,1520,684,77,1449,2281,3730
BACON-E2,1605,Non-fiction,1024,163,253,190,5,1187,448,1635
BAIN-1878-1,1878,Non-fiction,307,111,75,363,4,418,442,860
BAKER-1742-2,1742,Non-fiction,385,86,126,267,5,471,398,869
BARCLAY-1743-1,1743,Non-fiction,502,130,108,321,10,632,439,1071
BARCLAY-1743-2,1743,Non-fiction,90,21,18,54,4,111,76,187
BARDSLEY-1807-1,1807,Non-fiction,188,109,89,254,0,297,343,640
BARTON-GRESSWELL-1906-2,1906,Non-fiction,212,79,84,375,3,291,462,753
BEALE-1898-2,1898,Non-fiction,348,134,120,378,5,482,503,985
BEDDINGFIELD-1763-2,1763,Legal,310,73,61,683,188,383,932,1315
BEDYLL-E1,1537,Letters,31,4,2,9,0,35,11,46
BEHN-E3,1668,Fiction,1155,274,361,300,3,1429,664,2093
BELL-1911-2,1911,Non-fiction,393,104,281,391,14,497,686,1183
BENNETT-1911-2,1911,Drama,343,116,89,662,91,459,842,1301
BENSON-1908-1,1908,Non-fiction,527,174,141,285,1,701,427,1128
BENSON-190X-1,1906,Diaries,292,101,173,530,19,393,722,1115
BLUNDEV-E2,1597,Non-fiction,944,188,275,312,43,1132,630,1762
BOETHCO-E1,1556,Non-fiction,2365,381,604,760,271,2746,1635,4381
BOETHEL-E2,1593,Non-fiction,1726,195,474,769,268,1921,1511,3432
