Period,N,Proportion,ClauseType
850,23,0.410714286,FiniteSubordinate
850,9,0.160714286,Nonfinite
850,3,0.053571429,Conjoined
850,21,0.375,Independent
950,90,0.290322581,FiniteSubordinate
950,38,0.122580645,Nonfinite
950,32,0.103225806,Conjoined
950,150,0.483870968,Independent
1050,376,0.258774948,FiniteSubordinate
1050,177,0.12181693,Nonfinite
1050,90,0.061940812,Conjoined
1050,810,0.557467309,Independent
1150,33391,0.359398545,FiniteSubordinate
1150,9728,0.10470573,Nonfinite
1150,12432,0.13380979,Conjoined
1150,37357,0.402085934,Independent
1250,18013,0.424164645,FiniteSubordinate
1250,4412,0.103892434,Nonfinite
1250,8325,0.196034568,Conjoined
1250,11717,0.275908352,Independent
1350,22618,0.408872338,FiniteSubordinate
1350,7008,0.126685708,Nonfinite
1350,13844,0.250262121,Conjoined
1350,11848,0.214179833,Independent
1450,15727,0.451756528,FiniteSubordinate
1450,4802,0.137936978,Nonfinite
1450,6656,0.191192945,Conjoined
1450,7628,0.21911355,Independent
1550,7649,0.45118858,FiniteSubordinate
1550,2058,0.121394443,Nonfinite
1550,3207,0.189170058,Conjoined
1550,4039,0.238246918,Independent
