File,Hits,Tokens,Total
0842-STRASBBFM-BFM-P,0,0,3
0885-EULALIBFM-BFM-P,0,0,21
0980-LEGER-PENN-V,0,0,180
1000-PASSION-BFM-P,0,0,348
1050-ALEXIS-PENN-V,0,0,502
1100-ROLAND-MCVF-V,0,0,3550
1117-LAPIDAL-BFM-R,0,0,947
1120-BRENDAN-MCVF-R,0,0,1192
1128-BESTIAIRE-BFM-R,0,0,1405
1130-GORMONT-BFM-R,0,0,391
1138-JUISE-BFM-R,0,0,352
1150-LAPIDFP-BFM-P,0,0,461
1150-PSORNE-BFM-P,0,0,70
1150-LEIS-WILLELME-MCVF-P,0,0,93
1150-QLR-BFM-P,0,0,4029
1155-ENEAS1-BFM-R,0,0,3810
1155-ENEAS2-BFM-R,0,0,2683
1165-PROVSERLO-BFM-P,0,0,88
116X-MARIE-DE-FRANCE-MCVF-R,0,0,3642
1173-BECKET-BFM-R,0,0,4466
1174-BENDUC1B-BFM-R,0,0,1849
1175-FANTOSME-BFM-R,0,0,1525
1175-MIRNDORL-BFM-R,0,0,78
1177-YVAIN-MCVF-R,0,0,3309
1183-ADGAR-BFM-R,0,0,4087
1185-COBE-BFM-R,0,0,181
1190-BLONDNESLE-BFM-R,0,0,393
1190-DIALGREG1-BFM-P,0,0,713
1190-DIALGREG2-BFM-P,0,0,692
1190-SBERNAN-BFM-P,0,0,4723
1190-BORON-PENN-R,0,0,1780
1194-CHIEVRES-MCVF-P,0,0,45
1200-DIALAME-BFM-P,0,0,713
1200-SERMMADN-BFM-P,0,0,145
1205-CLARI-MCVF-P,0,0,2203
1210-BORON-PENN-P,0,0,1375
1212-EUSTACE-FISHER-PENN-R,0,0,795
1225-QUESTE-MCVF-P,0,0,2510
122X-AGNES-MCVF-P,0,0,339
122X-AUCASSIN-MCVF-M,0,0,861
122X-EUSTACE-MURRAY-PENN-P,0,0,531
122X-EUSTACE-PETERSEN-PENN-R,0,0,875
122X-PSEUDO-TURPIN-MCVF-P,0,0,243
122X-PSEUDO-TURPIN-PENN-P,0,0,1839
1279-SOMME-ROYAL-PENN-P,0,0,1885
127X-CASSIDORUS-PENN-P,0,0,4190
1283-LIVRE-ROISIN-MCVF-P,0,0,120
1309-JOINVILLE-MCVF-P,0,0,4301
133X-PERCEFOREST-PENN-P,0,0,3218
1369-FROISSART-1-MCVF-P,0,0,1536
1370-FROISSART-2-MCVF-P,0,0,1586
1371-FROISSART-3-MCVF-P,0,0,1681
1372-FROISSART-4-MCVF-P,0,0,1721
1374-FROISSART-5-MCVF-P,0,0,1787
1375-FROISSART-6-MCVF-P,0,0,1778
1376-FROISSART-7-MCVF-P,0,0,1756
1377-FROISSART-8-MCVF-P,0,0,1702
137X-PRISE-MCVF-R,0,0,3624
1427-MORCHESNE-MCVF-P,0,0,166
1450-XV-JOIES-MCVF-P,0,0,2298
146X-CNNA-MCVF-P,0,0,8345
1498-COMMYNES-MCVF-P,0,0,2312
1523-NOUVEAU-TESTAMENT-PENN-P,0,0,2880
1527-BAYART-PENN-P,0,0,2898
158X-VALOIS-AUTOGRAPH-MCVF-P,0,0,898
0842-STRASBBFM-BFM-P,10,10,10
0885-EULALIBFM-BFM-P,13,13,13
0980-LEGER-PENN-V,90,90,92
1000-PASSION-BFM-P,131,131,144
1050-ALEXIS-PENN-V,245,245,288
1100-ROLAND-MCVF-V,1006,1006,1092
1117-LAPIDAL-BFM-R,657,657,668
1120-BRENDAN-MCVF-R,627,627,682
1128-BESTIAIRE-BFM-R,1028,1028,1056
1130-GORMONT-BFM-R,157,157,170
1138-JUISE-BFM-R,269,269,293
1150-LAPIDFP-BFM-P,348,348,352
1150-PSORNE-BFM-P,14,14,17
1150-LEIS-WILLELME-MCVF-P,271,271,273
1150-QLR-BFM-P,2301,2301,2609
1155-ENEAS1-BFM-R,1805,1805,2002
1155-ENEAS2-BFM-R,1360,1360,1540
1165-PROVSERLO-BFM-P,55,55,58
116X-MARIE-DE-FRANCE-MCVF-R,1656,1656,1860
1173-BECKET-BFM-R,2938,2938,3078
1174-BENDUC1B-BFM-R,1271,1271,1400
1175-FANTOSME-BFM-R,776,776,868
1175-MIRNDORL-BFM-R,49,49,52
1177-YVAIN-MCVF-R,2909,2909,3122
1183-ADGAR-BFM-R,3120,3120,3463
1185-COBE-BFM-R,218,218,230
1190-BLONDNESLE-BFM-R,420,420,450
1190-DIALGREG1-BFM-P,1060,1060,1158
1190-DIALGREG2-BFM-P,1132,1132,1239
1190-SBERNAN-BFM-P,6307,6307,7149
1190-BORON-PENN-R,1538,1538,1760
1194-CHIEVRES-MCVF-P,99,99,99
1200-DIALAME-BFM-P,318,318,401
1200-SERMMADN-BFM-P,159,159,168
1205-CLARI-MCVF-P,2385,2385,2494
1210-BORON-PENN-P,1345,1345,1518
1212-EUSTACE-FISHER-PENN-R,650,650,692
1225-QUESTE-MCVF-P,2732,2732,2946
122X-AGNES-MCVF-P,325,325,339
122X-AUCASSIN-MCVF-M,528,528,586
122X-EUSTACE-MURRAY-PENN-P,425,425,456
122X-EUSTACE-PETERSEN-PENN-R,753,753,843
122X-PSEUDO-TURPIN-MCVF-P,210,210,218
122X-PSEUDO-TURPIN-PENN-P,1207,1207,1286
1279-SOMME-ROYAL-PENN-P,2659,2659,2746
127X-CASSIDORUS-PENN-P,3913,3913,4366
1283-LIVRE-ROISIN-MCVF-P,404,404,414
1309-JOINVILLE-MCVF-P,5822,5822,6013
133X-PERCEFOREST-PENN-P,3047,3047,3292
1369-FROISSART-1-MCVF-P,1338,1338,1405
1370-FROISSART-2-MCVF-P,1285,1285,1356
1371-FROISSART-3-MCVF-P,1264,1264,1320
1372-FROISSART-4-MCVF-P,1157,1157,1199
1374-FROISSART-5-MCVF-P,1333,1333,1395
1375-FROISSART-6-MCVF-P,1311,1311,1362
1376-FROISSART-7-MCVF-P,1325,1325,1395
1377-FROISSART-8-MCVF-P,1365,1365,1413
137X-PRISE-MCVF-R,3371,3371,3537
1427-MORCHESNE-MCVF-P,603,603,609
1450-XV-JOIES-MCVF-P,2629,2629,2793
146X-CNNA-MCVF-P,9974,9974,10952
1498-COMMYNES-MCVF-P,2521,2521,2574
1523-NOUVEAU-TESTAMENT-PENN-P,2062,2062,2333
1527-BAYART-PENN-P,3501,3501,3769
158X-VALOIS-AUTOGRAPH-MCVF-P,2086,2086,2144
