File,Hits,Tokens,Total
0842-strasbBfm-bfm-p.psd,2,2,6
0885-eulaliBfm-bfm-p.psd,7,7,27
0980-leger-penn-v.psd,38,38,263
1000-passion-bfm-p.psd,55,52,394
1050-alexis-penn-v.psd,122,122,1133
1100-roland-mcvf-v.psd,472,469,3976
1117-Lapidal-bfm-r.psd,148,145,1109
1120-brendan-mcvf-r.psd,141,140,1325
1128-bestiaire-bfm-r.psd,209,207,1549
1130-gormont-bfm-r.psd,55,55,427
1138-Juise-bfm-r.psd,57,56,408
1150-Lapidfp-bfm-p.psd,73,72,586
1150-PsOrne-bfm-p.psd,1,1,134
1150-leis-willelme-mcvf-p.psd,54,53,240
1150-qlr-bfm-p.psd,437,435,4075
1155-eneas1-bfm-r.psd,721,717,4080
1155-eneas2-bfm-r.psd,581,573,2941
1165-ProvSerlo-bfm-p.psd,13,12,256
116x-marie-de-france-mcvf-r.psd,676,669,3910
1173-becket-bfm-r.psd,1447,1420,4759
1174-BenDuc1b-bfm-r.psd,387,386,2044
1175-Fantosme-bfm-r.psd,386,376,1726
1175-MirNDOrl-bfm-r.psd,11,11,98
1177-yvain-mcvf-r.psd,866,851,7243
1183-adgar-bfm-r.psd,862,852,4607
1185-cobe-bfm-r.psd,65,64,229
1190-BlondNesle-bfm-r.psd,184,179,546
1190-DialGreg1-bfm-p.psd,225,222,979
1190-DialGreg2-bfm-p.psd,234,234,1107
1190-SBernAn-bfm-p.psd,1007,993,5976
1190-boron-penn-r.psd,380,372,1890
1194-chievres-mcvf-p.psd,36,36,86
1200-DialAme-bfm-p.psd,77,75,1107
1200-SermMadn-bfm-p.psd,33,33,146
1205-clari-mcvf-p.psd,544,541,2721
1210-boron-penn-p.psd,302,302,1418
1212-eustace-fisher-penn-r.psd,198,197,846
1225-queste-mcvf-p.psd,641,636,3369
122x-agnes-mcvf-p.psd,71,70,461
122x-aucassin-mcvf-m.psd,137,136,1037
122x-eustace-murray-penn-p.psd,83,81,621
122x-eustace-petersen-penn-r.psd,198,195,968
122x-pseudo-turpin-mcvf-p.psd,49,48,255
122x-pseudo-turpin-penn-p.psd,304,304,1911
1279-somme-royal-penn-p.psd,606,592,2793
127x-cassidorus-penn-p.psd,1069,1064,4590
1283-livre-roisin-mcvf-p.psd,100,96,249
1309-joinville-mcvf-p.psd,1325,1321,5600
133x-perceforest-penn-p.psd,1029,1006,3430
1369-froissart-1-mcvf-p.psd,424,417,2254
1370-froissart-2-mcvf-p.psd,506,503,2325
1371-froissart-3-mcvf-p.psd,441,430,2436
1372-froissart-4-mcvf-p.psd,415,407,2522
1374-froissart-5-mcvf-p.psd,454,446,2529
1375-froissart-6-mcvf-p.psd,497,487,2592
1376-froissart-7-mcvf-p.psd,464,457,2587
1377-froissart-8-mcvf-p.psd,508,497,2582
137x-prise-mcvf-r.psd,945,926,4668
1427-morchesne-mcvf-p.psd,121,119,351
1450-xv-joies-mcvf-p.psd,698,693,3161
146x-cnna-mcvf-p.psd,3179,3110,11800
1498-commynes-mcvf-p.psd,804,790,2458
1523-nouveau-testament-penn-p.psd,295,293,2879
1527-bayart-penn-p.psd,1185,1169,3088
158x-valois-autograph-mcvf-p.psd,578,577,3249
