File,Hits,Tokens,Total
0842-STRASBBFM-BFM-P,1,1,3
0885-EULALIBFM-BFM-P,2,2,21
0980-LEGER-PENN-V,32,32,180
1000-PASSION-BFM-P,32,32,348
1050-ALEXIS-PENN-V,58,58,502
1100-ROLAND-MCVF-V,270,270,3550
1117-LAPIDAL-BFM-R,288,288,947
1120-BRENDAN-MCVF-R,235,235,1192
1128-BESTIAIRE-BFM-R,321,321,1405
1130-GORMONT-BFM-R,58,58,391
1138-JUISE-BFM-R,47,47,352
1150-LAPIDFP-BFM-P,170,170,461
1150-PSORNE-BFM-P,31,31,70
1150-LEIS-WILLELME-MCVF-P,38,38,93
1150-QLR-BFM-P,1866,1866,4029
1155-ENEAS1-BFM-R,548,548,3810
1155-ENEAS2-BFM-R,343,343,2683
1165-PROVSERLO-BFM-P,1,1,88
116X-MARIE-DE-FRANCE-MCVF-R,428,428,3642
1173-BECKET-BFM-R,1231,1231,4466
1174-BENDUC1B-BFM-R,327,327,1849
1175-FANTOSME-BFM-R,308,308,1525
1175-MIRNDORL-BFM-R,10,10,78
1177-YVAIN-MCVF-R,1469,1469,3309
1183-ADGAR-BFM-R,813,813,4087
1185-COBE-BFM-R,66,66,181
1190-BLONDNESLE-BFM-R,117,117,393
1190-DIALGREG1-BFM-P,381,381,713
1190-DIALGREG2-BFM-P,429,429,692
1190-SBERNAN-BFM-P,2048,2048,4723
1190-BORON-PENN-R,568,568,1780
1194-CHIEVRES-MCVF-P,21,21,45
1200-DIALAME-BFM-P,197,197,713
1200-SERMMADN-BFM-P,73,73,145
1205-CLARI-MCVF-P,965,965,2203
1210-BORON-PENN-P,799,799,1375
1212-EUSTACE-FISHER-PENN-R,144,144,795
1225-QUESTE-MCVF-P,1665,1665,2510
122X-AGNES-MCVF-P,163,163,339
122X-AUCASSIN-MCVF-M,228,228,861
122X-EUSTACE-MURRAY-PENN-P,210,210,531
122X-EUSTACE-PETERSEN-PENN-R,288,288,875
122X-PSEUDO-TURPIN-MCVF-P,121,121,243
122X-PSEUDO-TURPIN-PENN-P,1001,1001,1839
1279-SOMME-ROYAL-PENN-P,740,740,1885
127X-CASSIDORUS-PENN-P,1635,1635,4190
1283-LIVRE-ROISIN-MCVF-P,96,96,120
1309-JOINVILLE-MCVF-P,2357,2357,4301
133X-PERCEFOREST-PENN-P,1686,1686,3218
1369-FROISSART-1-MCVF-P,952,952,1536
1370-FROISSART-2-MCVF-P,893,893,1586
1371-FROISSART-3-MCVF-P,1047,1047,1681
1372-FROISSART-4-MCVF-P,1046,1046,1721
1374-FROISSART-5-MCVF-P,1048,1048,1787
1375-FROISSART-6-MCVF-P,1094,1094,1778
1376-FROISSART-7-MCVF-P,1032,1032,1756
1377-FROISSART-8-MCVF-P,1031,1031,1702
137X-PRISE-MCVF-R,1658,1658,3624
1427-MORCHESNE-MCVF-P,91,91,166
1450-XV-JOIES-MCVF-P,1392,1392,2298
146X-CNNA-MCVF-P,3924,3924,8345
1498-COMMYNES-MCVF-P,1249,1249,2312
1523-NOUVEAU-TESTAMENT-PENN-P,1774,1774,2880
1527-BAYART-PENN-P,1191,1191,2898
158X-VALOIS-AUTOGRAPH-MCVF-P,242,242,898
0842-STRASBBFM-BFM-P,0,0,10
0885-EULALIBFM-BFM-P,0,0,13
0980-LEGER-PENN-V,0,0,92
1000-PASSION-BFM-P,0,0,144
1050-ALEXIS-PENN-V,0,0,288
1100-ROLAND-MCVF-V,0,0,1092
1117-LAPIDAL-BFM-R,0,0,668
1120-BRENDAN-MCVF-R,0,0,682
1128-BESTIAIRE-BFM-R,0,0,1056
1130-GORMONT-BFM-R,0,0,170
1138-JUISE-BFM-R,0,0,293
1150-LAPIDFP-BFM-P,0,0,352
1150-PSORNE-BFM-P,0,0,17
1150-LEIS-WILLELME-MCVF-P,0,0,273
1150-QLR-BFM-P,0,0,2609
1155-ENEAS1-BFM-R,0,0,2002
1155-ENEAS2-BFM-R,0,0,1540
1165-PROVSERLO-BFM-P,0,0,58
116X-MARIE-DE-FRANCE-MCVF-R,0,0,1860
1173-BECKET-BFM-R,0,0,3078
1174-BENDUC1B-BFM-R,0,0,1400
1175-FANTOSME-BFM-R,0,0,868
1175-MIRNDORL-BFM-R,0,0,52
1177-YVAIN-MCVF-R,0,0,3122
1183-ADGAR-BFM-R,0,0,3463
1185-COBE-BFM-R,0,0,230
1190-BLONDNESLE-BFM-R,0,0,450
1190-DIALGREG1-BFM-P,0,0,1158
