File,Hits,Tokens,Total
0842-STRASBBFM-BFM-P,2,2,3
0885-EULALIBFM-BFM-P,19,19,21
0980-LEGER-PENN-V,148,148,180
1000-PASSION-BFM-P,316,316,348
1050-ALEXIS-PENN-V,444,444,502
1100-ROLAND-MCVF-V,3280,3280,3550
1117-LAPIDAL-BFM-R,659,659,947
1120-BRENDAN-MCVF-R,957,957,1192
1128-BESTIAIRE-BFM-R,1084,1084,1405
1130-GORMONT-BFM-R,333,333,391
1138-JUISE-BFM-R,305,305,352
1150-LAPIDFP-BFM-P,291,291,461
1150-PSORNE-BFM-P,39,39,70
1150-LEIS-WILLELME-MCVF-P,55,55,93
1150-QLR-BFM-P,2163,2163,4029
1155-ENEAS1-BFM-R,3262,3262,3810
1155-ENEAS2-BFM-R,2340,2340,2683
1165-PROVSERLO-BFM-P,87,87,88
116X-MARIE-DE-FRANCE-MCVF-R,3214,3214,3642
1173-BECKET-BFM-R,3235,3235,4466
1174-BENDUC1B-BFM-R,1522,1522,1849
1175-FANTOSME-BFM-R,1217,1217,1525
1175-MIRNDORL-BFM-R,68,68,78
1177-YVAIN-MCVF-R,1840,1840,3309
1183-ADGAR-BFM-R,3274,3274,4087
1185-COBE-BFM-R,115,115,181
1190-BLONDNESLE-BFM-R,276,276,393
1190-DIALGREG1-BFM-P,332,332,713
1190-DIALGREG2-BFM-P,263,263,692
1190-SBERNAN-BFM-P,2675,2675,4723
1190-BORON-PENN-R,1212,1212,1780
1194-CHIEVRES-MCVF-P,24,24,45
1200-DIALAME-BFM-P,516,516,713
1200-SERMMADN-BFM-P,72,72,145
1205-CLARI-MCVF-P,1238,1238,2203
1210-BORON-PENN-P,576,576,1375
1212-EUSTACE-FISHER-PENN-R,651,651,795
1225-QUESTE-MCVF-P,845,845,2510
122X-AGNES-MCVF-P,176,176,339
122X-AUCASSIN-MCVF-M,633,633,861
122X-EUSTACE-MURRAY-PENN-P,321,321,531
122X-EUSTACE-PETERSEN-PENN-R,587,587,875
122X-PSEUDO-TURPIN-MCVF-P,122,122,243
122X-PSEUDO-TURPIN-PENN-P,838,838,1839
1279-SOMME-ROYAL-PENN-P,1145,1145,1885
127X-CASSIDORUS-PENN-P,2555,2555,4190
1283-LIVRE-ROISIN-MCVF-P,24,24,120
1309-JOINVILLE-MCVF-P,1944,1944,4301
133X-PERCEFOREST-PENN-P,1532,1532,3218
1369-FROISSART-1-MCVF-P,584,584,1536
1370-FROISSART-2-MCVF-P,693,693,1586
1371-FROISSART-3-MCVF-P,634,634,1681
1372-FROISSART-4-MCVF-P,675,675,1721
1374-FROISSART-5-MCVF-P,739,739,1787
1375-FROISSART-6-MCVF-P,684,684,1778
1376-FROISSART-7-MCVF-P,724,724,1756
1377-FROISSART-8-MCVF-P,671,671,1702
137X-PRISE-MCVF-R,1966,1966,3624
1427-MORCHESNE-MCVF-P,75,75,166
1450-XV-JOIES-MCVF-P,906,906,2298
146X-CNNA-MCVF-P,4421,4421,8345
1498-COMMYNES-MCVF-P,1063,1063,2312
1523-NOUVEAU-TESTAMENT-PENN-P,1106,1106,2880
1527-BAYART-PENN-P,1707,1707,2898
158X-VALOIS-AUTOGRAPH-MCVF-P,656,656,898
0842-STRASBBFM-BFM-P,0,0,10
0885-EULALIBFM-BFM-P,0,0,13
0980-LEGER-PENN-V,2,2,92
1000-PASSION-BFM-P,10,10,144
1050-ALEXIS-PENN-V,40,40,288
1100-ROLAND-MCVF-V,85,85,1092
1117-LAPIDAL-BFM-R,10,10,668
1120-BRENDAN-MCVF-R,54,54,682
1128-BESTIAIRE-BFM-R,28,28,1056
1130-GORMONT-BFM-R,12,12,170
1138-JUISE-BFM-R,22,22,293
1150-LAPIDFP-BFM-P,4,4,352
1150-PSORNE-BFM-P,2,2,17
1150-LEIS-WILLELME-MCVF-P,2,2,273
1150-QLR-BFM-P,305,305,2609
1155-ENEAS1-BFM-R,190,190,2002
1155-ENEAS2-BFM-R,172,172,1540
1165-PROVSERLO-BFM-P,2,2,58
116X-MARIE-DE-FRANCE-MCVF-R,188,188,1860
1173-BECKET-BFM-R,134,134,3078
1174-BENDUC1B-BFM-R,118,118,1400
1175-FANTOSME-BFM-R,86,86,868
1175-MIRNDORL-BFM-R,1,1,52
1177-YVAIN-MCVF-R,210,210,3122
1183-ADGAR-BFM-R,337,337,3463
1185-COBE-BFM-R,10,10,230
1190-BLONDNESLE-BFM-R,28,28,450
1190-DIALGREG1-BFM-P,97,97,1158
1190-DIALGREG2-BFM-P,100,100,1239
1190-SBERNAN-BFM-P,819,819,7149
1190-BORON-PENN-R,219,219,1760
1194-CHIEVRES-MCVF-P,0,0,99
1200-DIALAME-BFM-P,83,83,401
1200-SERMMADN-BFM-P,9,9,168
1205-CLARI-MCVF-P,109,109,2494
1210-BORON-PENN-P,172,172,1518
1212-EUSTACE-FISHER-PENN-R,42,42,692
1225-QUESTE-MCVF-P,207,207,2946
122X-AGNES-MCVF-P,14,14,339
122X-AUCASSIN-MCVF-M,58,58,586
122X-EUSTACE-MURRAY-PENN-P,31,31,456
122X-EUSTACE-PETERSEN-PENN-R,86,86,843
122X-PSEUDO-TURPIN-MCVF-P,8,8,218
122X-PSEUDO-TURPIN-PENN-P,74,74,1286
1279-SOMME-ROYAL-PENN-P,78,78,2746
127X-CASSIDORUS-PENN-P,437,437,4366
1283-LIVRE-ROISIN-MCVF-P,10,10,414
1309-JOINVILLE-MCVF-P,182,182,6013
133X-PERCEFOREST-PENN-P,228,228,3292
1369-FROISSART-1-MCVF-P,63,63,1405
1370-FROISSART-2-MCVF-P,64,64,1356
1371-FROISSART-3-MCVF-P,56,56,1320
1372-FROISSART-4-MCVF-P,41,41,1199
1374-FROISSART-5-MCVF-P,56,56,1395
1375-FROISSART-6-MCVF-P,48,48,1362
1376-FROISSART-7-MCVF-P,68,68,1395
1377-FROISSART-8-MCVF-P,43,43,1413
137X-PRISE-MCVF-R,153,153,3537
1427-MORCHESNE-MCVF-P,6,6,609
1450-XV-JOIES-MCVF-P,163,163,2793
146X-CNNA-MCVF-P,941,941,10952
1498-COMMYNES-MCVF-P,53,53,2574
1523-NOUVEAU-TESTAMENT-PENN-P,269,269,2333
1527-BAYART-PENN-P,245,245,3769
158X-VALOIS-AUTOGRAPH-MCVF-P,56,56,2144
