File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
0842-STRASBBFM-BFM-P,842,Legal,10,2,1,2,0,12,3,15
0885-EULALIBFM-BFM-P,885,NarrativeVerse,13,7,2,19,0,20,21,41
0980-LEGER-PENN-V,980,NarrativeVerse,90,38,32,148,2,128,182,310
1000-PASSION-BFM-P,1000,NarrativeVerse,131,55,32,316,10,186,358,544
1050-ALEXIS-PENN-V,1050,NarrativeVerse,245,122,58,444,40,367,542,909
1100-ROLAND-MCVF-V,1100,NarrativeVerse,1006,472,270,3280,85,1478,3635,5113
1117-LAPIDAL-BFM-R,1117,DidacticVerse,657,148,288,659,10,805,957,1762
1120-BRENDAN-MCVF-R,1120,NarrativeVerse,627,141,235,957,54,768,1246,2014
1128-BESTIAIRE-BFM-R,1128,DidacticVerse,1028,209,321,1084,28,1237,1433,2670
1130-GORMONT-BFM-R,1130,NarrativeVerse,157,55,58,333,12,212,403,615
1138-JUISE-BFM-R,1138,Sermon,269,57,47,305,22,326,374,700
1150-LAPIDFP-BFM-P,1150,DidacticProse,348,73,170,291,4,421,465,886
1150-PSORNE-BFM-P,1150,Bible,14,1,31,39,2,15,72,87
1150-LEIS-WILLELME-MCVF-P,1150,Legal,271,54,38,55,2,325,95,420
1150-QLR-BFM-P,1150,NarrativeProse,2301,437,1866,2163,305,2738,4334,7072
1155-ENEAS1-BFM-R,1155,NarrativeVerse,1805,721,548,3262,190,2526,4000,6526
1155-ENEAS2-BFM-R,1155,NarrativeVerse,1360,581,343,2340,172,1941,2855,4796
1165-PROVSERLO-BFM-P,1165,DidacticProse,55,13,1,87,2,68,90,158
116X-MARIE-DE-FRANCE-MCVF-R,1165,NarrativeVerse,1656,676,428,3214,188,2332,3830,6162
1173-BECKET-BFM-R,1173,NarrativeVerse,2938,1447,1231,3235,134,4385,4600,8985
1174-BENDUC1B-BFM-R,1174,NarrativeVerse,1271,387,327,1522,118,1658,1967,3625
1175-FANTOSME-BFM-R,1175,NarrativeVerse,776,386,308,1217,86,1162,1611,2773
1175-MIRNDORL-BFM-R,1175,NarrativeVerse,49,11,10,68,1,60,79,139
1177-YVAIN-MCVF-R,1177,NarrativeVerse,2909,866,1469,1840,210,3775,3519,7294
1183-ADGAR-BFM-R,1183,NarrativeVerse,3120,862,813,3274,337,3982,4424,8406
1185-COBE-BFM-R,1185,NarrativeVerse,218,65,66,115,10,283,191,474
1190-BLONDNESLE-BFM-R,1190,NarrativeVerse,420,184,117,276,28,604,421,1025
