File,Hits,Tokens,Total
ARZNEI.WP.SCI,0,0,1546
BRAUNSCHWEIG.EP.CHART,0,0,129
BREMEN.NLG.CHART,0,0,48
BUXTEHUDER.NLG.REL,0,0,1820
DUDER1.EP.LAW,0,0,148
DUDER2.EP.LAW,0,0,153
ENGELHUS.EP.HIST,0,0,1613
FLOS.EE.LIT,0,0,1064
GREIFSWALD.EE.LAW,0,0,168
GRISELDIS.NLG.LIT,0,0,562
HERFORD.WP.LAW,0,0,807
OLDENBURG.NLG.CHART,0,0,267
ROSTOCK.EE.LAW,0,0,42
RUETHEN.WP.LAW,0,0,292
SCHWERIN.EE.ADMIN,0,0,289
SOEST.WP.LAW,0,0,309
SPIEGHEL.WP.REL,0,0,1145
STRALSUND.EE.CHART,0,0,383
WILLEKEN.NLG.PRIV,0,0,179
ZENO.EP.LIT,0,0,886
ARZNEI.WP.SCI,451,451,456
BRAUNSCHWEIG.EP.CHART,184,184,184
BREMEN.NLG.CHART,86,86,86
BUXTEHUDER.NLG.REL,1191,1191,1382
DUDER1.EP.LAW,197,197,197
DUDER2.EP.LAW,209,209,210
ENGELHUS.EP.HIST,682,682,705
FLOS.EE.LIT,356,356,407
GREIFSWALD.EE.LAW,216,216,217
GRISELDIS.NLG.LIT,548,548,599
HERFORD.WP.LAW,886,886,967
OLDENBURG.NLG.CHART,528,528,528
ROSTOCK.EE.LAW,74,74,74
RUETHEN.WP.LAW,504,504,504
SCHWERIN.EE.ADMIN,102,102,103
SOEST.WP.LAW,565,565,566
SPIEGHEL.WP.REL,1388,1388,1646
STRALSUND.EE.CHART,437,437,438
WILLEKEN.NLG.PRIV,133,133,145
ZENO.EP.LIT,388,388,440
