File,Hits,Tokens,Total
arzneibuch_Abdinghof_WF_1451-1500.psd,46,45,1770
braunschweig_Urkunden_OF_1301-1500.psd,6,6,110
bremen_NLS_1301-1350.psd,8,8,48
buxtehuder_Evangeliar_NLS_1451-1500.psd,37,37,2038
duderstadt1_OF_1279.psd,5,5,133
duderstadt2_OF_1279.psd,5,5,132
engelhus_Weltchronik_OF_1435.psd,46,46,1523
flos_EE_1401-1450.psd,66,66,1019
greifswald_Buergersprake_EE_1451.psd,23,23,148
griseldis_NLS_1502.psd,61,60,537
herford_Rechtsbuch_WF_1375.psd,45,45,830
oldenburg_Urkunden_NLS_1350-1500.psd,55,54,231
rostock_Buergersprake_EE_1580.psd,6,6,44
ruethen_Statutarrecht_WF_1300.psd,16,15,265
schwerin_Stadtbuch_EE_1451-1500.psd,9,9,327
soest_Schrae_WF_1367.psd,25,24,262
spieghel_WF_1444.psd,132,132,1433
stralsund_EE_1301-1500.psd,46,45,314
willeken_NLS_1535.psd,14,14,188
zeno_OF_1401-1450.psd,65,64,832
