File,Hits,Tokens,Total
ARZNEI.WP.SCI,688,688,1546
BRAUNSCHWEIG.EP.CHART,12,12,129
BREMEN.NLG.CHART,8,8,48
BUXTEHUDER.NLG.REL,701,701,1820
DUDER1.EP.LAW,18,18,148
DUDER2.EP.LAW,17,17,153
ENGELHUS.EP.HIST,358,358,1613
FLOS.EE.LIT,74,74,1064
GREIFSWALD.EE.LAW,21,21,168
GRISELDIS.NLG.LIT,217,217,562
HERFORD.WP.LAW,145,145,807
OLDENBURG.NLG.CHART,46,46,267
ROSTOCK.EE.LAW,2,2,42
RUETHEN.WP.LAW,34,34,292
SCHWERIN.EE.ADMIN,113,113,289
SOEST.WP.LAW,52,52,309
SPIEGHEL.WP.REL,223,223,1145
STRALSUND.EE.CHART,75,75,383
WILLEKEN.NLG.PRIV,46,46,179
ZENO.EP.LIT,113,113,886
ARZNEI.WP.SCI,0,0,456
BRAUNSCHWEIG.EP.CHART,0,0,184
BREMEN.NLG.CHART,0,0,86
BUXTEHUDER.NLG.REL,0,0,1382
DUDER1.EP.LAW,0,0,197
DUDER2.EP.LAW,0,0,210
ENGELHUS.EP.HIST,0,0,705
FLOS.EE.LIT,0,0,407
GREIFSWALD.EE.LAW,0,0,217
GRISELDIS.NLG.LIT,0,0,599
HERFORD.WP.LAW,0,0,967
OLDENBURG.NLG.CHART,0,0,528
ROSTOCK.EE.LAW,0,0,74
RUETHEN.WP.LAW,0,0,504
SCHWERIN.EE.ADMIN,0,0,103
SOEST.WP.LAW,0,0,566
SPIEGHEL.WP.REL,0,0,1646
STRALSUND.EE.CHART,0,0,438
WILLEKEN.NLG.PRIV,0,0,145
ZENO.EP.LIT,0,0,440
