File,Hits,Tokens,Total
ARZNEI.WP.SCI,858,858,1546
BRAUNSCHWEIG.EP.CHART,117,117,129
BREMEN.NLG.CHART,40,40,48
BUXTEHUDER.NLG.REL,1119,1119,1820
DUDER1.EP.LAW,130,130,148
DUDER2.EP.LAW,136,136,153
ENGELHUS.EP.HIST,1255,1255,1613
FLOS.EE.LIT,990,990,1064
GREIFSWALD.EE.LAW,147,147,168
GRISELDIS.NLG.LIT,345,345,562
HERFORD.WP.LAW,662,662,807
OLDENBURG.NLG.CHART,221,221,267
ROSTOCK.EE.LAW,40,40,42
RUETHEN.WP.LAW,258,258,292
SCHWERIN.EE.ADMIN,176,176,289
SOEST.WP.LAW,257,257,309
SPIEGHEL.WP.REL,922,922,1145
STRALSUND.EE.CHART,308,308,383
WILLEKEN.NLG.PRIV,133,133,179
ZENO.EP.LIT,773,773,886
ARZNEI.WP.SCI,5,5,456
BRAUNSCHWEIG.EP.CHART,0,0,184
BREMEN.NLG.CHART,0,0,86
BUXTEHUDER.NLG.REL,191,191,1382
DUDER1.EP.LAW,0,0,197
DUDER2.EP.LAW,1,1,210
ENGELHUS.EP.HIST,23,23,705
FLOS.EE.LIT,51,51,407
GREIFSWALD.EE.LAW,1,1,217
GRISELDIS.NLG.LIT,51,51,599
HERFORD.WP.LAW,81,81,967
OLDENBURG.NLG.CHART,0,0,528
ROSTOCK.EE.LAW,0,0,74
RUETHEN.WP.LAW,0,0,504
SCHWERIN.EE.ADMIN,1,1,103
SOEST.WP.LAW,1,1,566
SPIEGHEL.WP.REL,258,258,1646
STRALSUND.EE.CHART,1,1,438
WILLEKEN.NLG.PRIV,12,12,145
ZENO.EP.LIT,52,52,440
