File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
ARZNEI.WP.SCI,1475,Science,451,46,688,858,5,497,1551,2048
BRAUNSCHWEIG.EP.CHART,1425,Charter,184,6,12,117,0,190,129,319
BREMEN.NLG.CHART,1325,Charter,86,8,8,40,0,94,48,142
BUXTEHUDER.NLG.REL,1475,Religious,1191,37,701,1119,191,1228,2011,3239
DUDER1.EP.LAW,1279,Legal,197,5,18,130,0,202,148,350
DUDER2.EP.LAW,1279,Legal,209,5,17,136,1,214,154,368
ENGELHUS.EP.HIST,1435,History,682,46,358,1255,23,728,1636,2364
FLOS.EE.LIT,1425,Literary,356,66,74,990,51,422,1115,1537
GREIFSWALD.EE.LAW,1451,Legal,216,23,21,147,1,239,169,408
GRISELDIS.NLG.LIT,1502,Literary,548,61,217,345,51,609,613,1222
HERFORD.WP.LAW,1375,Legal,886,45,145,662,81,931,888,1819
OLDENBURG.NLG.CHART,1425,Charter,528,55,46,221,0,583,267,850
ROSTOCK.EE.LAW,1580,Legal,74,6,2,40,0,80,42,122
RUETHEN.WP.LAW,1300,Legal,504,16,34,258,0,520,292,812
SCHWERIN.EE.ADMIN,1475,Administrative,102,9,113,176,1,111,290,401
SOEST.WP.LAW,1367,Legal,565,25,52,257,1,590,310,900
SPIEGHEL.WP.REL,1444,Religious,1388,132,223,922,258,1520,1403,2923
STRALSUND.EE.CHART,1400,Charter,437,46,75,308,1,483,384,867
WILLEKEN.NLG.PRIV,1535,Letters,133,14,46,133,12,147,191,338
ZENO.EP.LIT,1425,Literary,388,65,113,773,52,453,938,1391
