Period,N,Proportion,ClauseType
1150,3336,0.567250468,FiniteSubordinate
1150,381,0.064784901,Nonfinite
1150,655,0.111375616,Conjoined
1150,1509,0.256589015,Independent
1250,5575,0.37958739,FiniteSubordinate
1250,1140,0.077619664,Nonfinite
1250,4099,0.279090352,Conjoined
1250,3873,0.263702594,Independent
1350,6975,0.391545975,FiniteSubordinate
1350,1479,0.083024587,Nonfinite
1350,3308,0.185696643,Conjoined
1350,6052,0.339732794,Independent
1450,6223,0.331698737,FiniteSubordinate
1450,1419,0.075635627,Nonfinite
1450,4989,0.265923991,Conjoined
1450,6130,0.326741645,Independent
1550,5976,0.479691764,FiniteSubordinate
1550,679,0.054503131,Nonfinite
1550,2788,0.223791941,Conjoined
1550,3015,0.242013164,Independent
1650,7291,0.43193128,FiniteSubordinate
1650,1489,0.0882109,Nonfinite
1650,3014,0.178554502,Conjoined
1650,5086,0.301303318,Independent
1750,6428,0.460656443,FiniteSubordinate
1750,1342,0.09617314,Nonfinite
1750,2017,0.144546367,Conjoined
1750,4167,0.29862405,Independent
1850,5823,0.350846539,FiniteSubordinate
1850,1658,0.099897572,Nonfinite
1850,3223,0.194191721,Conjoined
1850,5893,0.355064168,Independent
1950,6116,0.350246249,FiniteSubordinate
1950,2329,0.133375329,Nonfinite
1950,2235,0.127992212,Conjoined
1950,6782,0.38838621,Independent
2050,2523,0.403357314,FiniteSubordinate
2050,840,0.134292566,Nonfinite
2050,1046,0.167226219,Conjoined
2050,1846,0.295123901,Independent
