File,Hits,Tokens,Total
1150.FIRSTGRAMMAR.SCI-LIN,0,0,177
1150.HOMILIUBOK.REL-SER,0,0,1944
1210.JARTEIN.REL-SAG,0,0,814
1210.THORLAKUR.REL-SAG,0,0,549
1250.STURLUNGA.NAR-SAG,0,0,2232
1250.THETUBROT.NAR-SAG,0,0,230
1260.JOMSVIKINGAR.NAR-SAG,0,0,1517
1270.GRAGAS.LAW-LAW,0,0,293
1275.MORKIN.NAR-HIS,0,0,2224
1300.ALEXANDER.NAR-SAG,0,0,1311
1310.GRETTIR.NAR-SAG,0,0,2106
1325.ARNI.NAR-SAG,0,0,1126
1350.BANDAMENNM.NAR-SAG,0,0,1228
1350.FINNBOGI.NAR-SAG,0,0,2388
1350.MARTA.REL-SAG,0,0,968
1400.GUNNAR.NAR-SAG,0,0,961
1400.GUNNAR2.NAR-SAG,0,0,348
1400.VIGLUNDUR.NAR-SAG,0,0,1303
1450.BANDAMENN.NAR-SAG,0,0,1071
1450.ECTORSSAGA.NAR-SAG,0,0,1978
1450.JUDIT.REL-BIB,0,0,465
1450.VILHJALMUR.NAR-SAG,0,0,2361
1475.AEVINTYRI.NAR-REL,0,0,1165
1480.JARLMANN.NAR-SAG,0,0,1258
1525.ERASMUS.NAR-SAG,0,0,460
1525.GEORGIUS.NAR-REL,0,0,1037
1540.NTACTS.REL-BIB,0,0,1142
1540.NTJOHN.REL-BIB,0,0,1760
1593.EINTAL.REL-OTH,0,0,1078
1611.OKUR.REL-OTH,0,0,575
1628.OLAFUREGILS.BIO-TRA,0,0,810
1630.GERHARD.REL-OTH,0,0,509
1650.ILLUGI.NAR-SAG,0,0,1926
1659.PISLARSAGA.BIO-AUT,0,0,314
1661.INDIAFARI.BIO-TRA,0,0,1352
1675.ARMANN.NAR-FIC,0,0,1058
1675.MAGNUS.BIO-OTH,0,0,201
1675.MODARS.NAR-FIC,0,0,381
1680.SKALHOLT.NAR-REL,0,0,826
1720.VIDALIN.REL-SER,0,0,939
1725.BISKUPASOGUR.NAR-REL,0,0,1040
1745.KLIM.NAR-FIC,0,0,865
1790.FIMMBRAEDRA.NAR-SAG,0,0,1660
1791.JONSTEINGRIMS.BIO-AUT,0,0,1514
1830.HELLISMENN.NAR-SAG,0,0,1413
1835.JONASEDLI.SCI-NAT,0,0,159
1850.PILTUR.NAR-FIC,0,0,1347
1859.HUGVEKJUR.REL-SER,0,0,841
1861.ORRUSTA.NAR-FIC,0,0,1736
1882.TORFHILDUR.NAR-FIC,0,0,1783
1883.VOGGUR.NAR-FIC,0,0,130
1888.GRIMUR.NAR-FIC,0,0,564
1888.VORDRAUMUR.NAR-FIC,0,0,673
1902.FOSSAR.NAR-FIC,0,0,1548
1907.LEYSING.NAR-FIC,0,0,1461
1908.OFUREFLI.NAR-FIC,0,0,1418
1920.ARIN.REL-SER,0,0,1007
1985.MARGSAGA.NAR-FIC,0,0,1535
1985.SAGAN.NAR-FIC,0,0,1510
2008.MAMMA.NAR-FIC,0,0,1630
2008.OFSI.NAR-SAG,0,0,1114
1150.FIRSTGRAMMAR.SCI-LIN,366,366,367
1150.HOMILIUBOK.REL-SER,2970,2970,3012
1210.JARTEIN.REL-SAG,656,656,658
1210.THORLAKUR.REL-SAG,848,848,851
1250.STURLUNGA.NAR-SAG,908,908,930
1250.THETUBROT.NAR-SAG,193,193,200
1260.JOMSVIKINGAR.NAR-SAG,1213,1213,1219
1270.GRAGAS.LAW-LAW,588,588,588
1275.MORKIN.NAR-HIS,1169,1169,1242
1300.ALEXANDER.NAR-SAG,1664,1664,1692
1310.GRETTIR.NAR-SAG,1024,1024,1057
1325.ARNI.NAR-SAG,1334,1334,1341
1350.BANDAMENNM.NAR-SAG,718,718,790
1350.FINNBOGI.NAR-SAG,1086,1086,1157
1350.MARTA.REL-SAG,1149,1149,1171
1400.GUNNAR.NAR-SAG,363,363,388
1400.GUNNAR2.NAR-SAG,131,131,135
1400.VIGLUNDUR.NAR-SAG,682,682,693
1450.BANDAMENN.NAR-SAG,597,597,661
1450.ECTORSSAGA.NAR-SAG,1076,1076,1087
1450.JUDIT.REL-BIB,387,387,400
1450.VILHJALMUR.NAR-SAG,1093,1093,1123
1475.AEVINTYRI.NAR-REL,1198,1198,1235
1480.JARLMANN.NAR-SAG,696,696,711
1525.ERASMUS.NAR-SAG,538,538,552
1525.GEORGIUS.NAR-REL,1376,1376,1405
1540.NTACTS.REL-BIB,1020,1020,1071
1540.NTJOHN.REL-BIB,1435,1435,1568
1593.EINTAL.REL-OTH,1607,1607,1706
1611.OKUR.REL-OTH,993,993,1026
1628.OLAFUREGILS.BIO-TRA,1023,1023,1034
1630.GERHARD.REL-OTH,808,808,886
1650.ILLUGI.NAR-SAG,985,985,994
1659.PISLARSAGA.BIO-AUT,793,793,797
1661.INDIAFARI.BIO-TRA,1408,1408,1412
1675.ARMANN.NAR-FIC,499,499,507
1675.MAGNUS.BIO-OTH,171,171,171
1675.MODARS.NAR-FIC,188,188,190
1680.SKALHOLT.NAR-REL,423,423,423
1720.VIDALIN.REL-SER,1731,1731,1840
1725.BISKUPASOGUR.NAR-REL,888,888,888
1745.KLIM.NAR-FIC,1601,1601,1610
1790.FIMMBRAEDRA.NAR-SAG,842,842,874
1791.JONSTEINGRIMS.BIO-AUT,1366,1366,1382
1830.HELLISMENN.NAR-SAG,566,566,575
1835.JONASEDLI.SCI-NAT,227,227,227
1850.PILTUR.NAR-FIC,893,893,964
1859.HUGVEKJUR.REL-SER,1230,1230,1362
1861.ORRUSTA.NAR-FIC,943,943,984
1882.TORFHILDUR.NAR-FIC,1078,1078,1215
1883.VOGGUR.NAR-FIC,106,106,106
1888.GRIMUR.NAR-FIC,311,311,331
1888.VORDRAUMUR.NAR-FIC,469,469,529
1902.FOSSAR.NAR-FIC,904,904,946
1907.LEYSING.NAR-FIC,891,891,909
1908.OFUREFLI.NAR-FIC,847,847,1020
1920.ARIN.REL-SER,1314,1314,1407
1985.MARGSAGA.NAR-FIC,1189,1189,1258
1985.SAGAN.NAR-FIC,971,971,1114
2008.MAMMA.NAR-FIC,1242,1242,1349
2008.OFSI.NAR-SAG,1281,1281,1322
