File,Hits,Tokens,Total
1150.FIRSTGRAMMAR.SCI-LIN,49,49,177
1150.HOMILIUBOK.REL-SER,606,606,1944
1210.JARTEIN.REL-SAG,539,539,814
1210.THORLAKUR.REL-SAG,274,274,549
1250.STURLUNGA.NAR-SAG,900,900,2232
1250.THETUBROT.NAR-SAG,87,87,230
1260.JOMSVIKINGAR.NAR-SAG,1037,1037,1517
1270.GRAGAS.LAW-LAW,112,112,293
1275.MORKIN.NAR-HIS,1150,1150,2224
1300.ALEXANDER.NAR-SAG,536,536,1311
1310.GRETTIR.NAR-SAG,654,654,2106
1325.ARNI.NAR-SAG,453,453,1126
1350.BANDAMENNM.NAR-SAG,436,436,1228
1350.FINNBOGI.NAR-SAG,803,803,2388
1350.MARTA.REL-SAG,426,426,968
1400.GUNNAR.NAR-SAG,295,295,961
1400.GUNNAR2.NAR-SAG,157,157,348
1400.VIGLUNDUR.NAR-SAG,540,540,1303
1450.BANDAMENN.NAR-SAG,414,414,1071
1450.ECTORSSAGA.NAR-SAG,791,791,1978
1450.JUDIT.REL-BIB,278,278,465
1450.VILHJALMUR.NAR-SAG,1315,1315,2361
1475.AEVINTYRI.NAR-REL,569,569,1165
1480.JARLMANN.NAR-SAG,630,630,1258
1525.ERASMUS.NAR-SAG,263,263,460
1525.GEORGIUS.NAR-REL,661,661,1037
1540.NTACTS.REL-BIB,800,800,1142
1540.NTJOHN.REL-BIB,704,704,1760
1593.EINTAL.REL-OTH,360,360,1078
1611.OKUR.REL-OTH,174,174,575
1628.OLAFUREGILS.BIO-TRA,440,440,810
1630.GERHARD.REL-OTH,83,83,509
1650.ILLUGI.NAR-SAG,611,611,1926
1659.PISLARSAGA.BIO-AUT,154,154,314
1661.INDIAFARI.BIO-TRA,518,518,1352
1675.ARMANN.NAR-FIC,462,462,1058
1675.MAGNUS.BIO-OTH,81,81,201
1675.MODARS.NAR-FIC,152,152,381
1680.SKALHOLT.NAR-REL,339,339,826
1720.VIDALIN.REL-SER,298,298,939
1725.BISKUPASOGUR.NAR-REL,296,296,1040
1745.KLIM.NAR-FIC,307,307,865
1790.FIMMBRAEDRA.NAR-SAG,654,654,1660
1791.JONSTEINGRIMS.BIO-AUT,462,462,1514
1830.HELLISMENN.NAR-SAG,429,429,1413
1835.JONASEDLI.SCI-NAT,66,66,159
1850.PILTUR.NAR-FIC,594,594,1347
1859.HUGVEKJUR.REL-SER,298,298,841
1861.ORRUSTA.NAR-FIC,707,707,1736
1882.TORFHILDUR.NAR-FIC,607,607,1783
1883.VOGGUR.NAR-FIC,43,43,130
1888.GRIMUR.NAR-FIC,211,211,564
1888.VORDRAUMUR.NAR-FIC,268,268,673
1902.FOSSAR.NAR-FIC,355,355,1548
1907.LEYSING.NAR-FIC,338,338,1461
1908.OFUREFLI.NAR-FIC,397,397,1418
1920.ARIN.REL-SER,309,309,1007
1985.MARGSAGA.NAR-FIC,462,462,1535
1985.SAGAN.NAR-FIC,374,374,1510
2008.MAMMA.NAR-FIC,575,575,1630
2008.OFSI.NAR-SAG,471,471,1114
1150.FIRSTGRAMMAR.SCI-LIN,0,0,367
1150.HOMILIUBOK.REL-SER,0,0,3012
1210.JARTEIN.REL-SAG,0,0,658
1210.THORLAKUR.REL-SAG,0,0,851
1250.STURLUNGA.NAR-SAG,0,0,930
1250.THETUBROT.NAR-SAG,0,0,200
1260.JOMSVIKINGAR.NAR-SAG,0,0,1219
1270.GRAGAS.LAW-LAW,0,0,588
1275.MORKIN.NAR-HIS,0,0,1242
1300.ALEXANDER.NAR-SAG,0,0,1692
1310.GRETTIR.NAR-SAG,0,0,1057
1325.ARNI.NAR-SAG,0,0,1341
1350.BANDAMENNM.NAR-SAG,0,0,790
1350.FINNBOGI.NAR-SAG,0,0,1157
1350.MARTA.REL-SAG,0,0,1171
1400.GUNNAR.NAR-SAG,0,0,388
1400.GUNNAR2.NAR-SAG,0,0,135
1400.VIGLUNDUR.NAR-SAG,0,0,693
1450.BANDAMENN.NAR-SAG,0,0,661
1450.ECTORSSAGA.NAR-SAG,0,0,1087
1450.JUDIT.REL-BIB,0,0,400
1450.VILHJALMUR.NAR-SAG,0,0,1123
1475.AEVINTYRI.NAR-REL,0,0,1235
1480.JARLMANN.NAR-SAG,0,0,711
1525.ERASMUS.NAR-SAG,0,0,552
1525.GEORGIUS.NAR-REL,0,0,1405
1540.NTACTS.REL-BIB,0,0,1071
1540.NTJOHN.REL-BIB,0,0,1568
1593.EINTAL.REL-OTH,0,0,1706
1611.OKUR.REL-OTH,0,0,1026
1628.OLAFUREGILS.BIO-TRA,0,0,1034
1630.GERHARD.REL-OTH,0,0,886
1650.ILLUGI.NAR-SAG,0,0,994
1659.PISLARSAGA.BIO-AUT,0,0,797
1661.INDIAFARI.BIO-TRA,0,0,1412
1675.ARMANN.NAR-FIC,0,0,507
1675.MAGNUS.BIO-OTH,0,0,171
1675.MODARS.NAR-FIC,0,0,190
1680.SKALHOLT.NAR-REL,0,0,423
1720.VIDALIN.REL-SER,0,0,1840
1725.BISKUPASOGUR.NAR-REL,0,0,888
1745.KLIM.NAR-FIC,0,0,1610
1790.FIMMBRAEDRA.NAR-SAG,0,0,874
1791.JONSTEINGRIMS.BIO-AUT,0,0,1382
1830.HELLISMENN.NAR-SAG,0,0,575
1835.JONASEDLI.SCI-NAT,0,0,227
1850.PILTUR.NAR-FIC,0,0,964
1859.HUGVEKJUR.REL-SER,0,0,1362
1861.ORRUSTA.NAR-FIC,0,0,984
1882.TORFHILDUR.NAR-FIC,0,0,1215
1883.VOGGUR.NAR-FIC,0,0,106
1888.GRIMUR.NAR-FIC,0,0,331
1888.VORDRAUMUR.NAR-FIC,0,0,529
1902.FOSSAR.NAR-FIC,0,0,946
1907.LEYSING.NAR-FIC,0,0,909
1908.OFUREFLI.NAR-FIC,0,0,1020
1920.ARIN.REL-SER,0,0,1407
1985.MARGSAGA.NAR-FIC,0,0,1258
1985.SAGAN.NAR-FIC,0,0,1114
2008.MAMMA.NAR-FIC,0,0,1349
2008.OFSI.NAR-SAG,0,0,1322
