File,Hits,Tokens,Total
1150.FIRSTGRAMMAR.SCI-LIN,128,128,177
1150.HOMILIUBOK.REL-SER,1338,1338,1944
1210.JARTEIN.REL-SAG,275,275,814
1210.THORLAKUR.REL-SAG,275,275,549
1250.STURLUNGA.NAR-SAG,1332,1332,2232
1250.THETUBROT.NAR-SAG,143,143,230
1260.JOMSVIKINGAR.NAR-SAG,480,480,1517
1270.GRAGAS.LAW-LAW,181,181,293
1275.MORKIN.NAR-HIS,1074,1074,2224
1300.ALEXANDER.NAR-SAG,775,775,1311
1310.GRETTIR.NAR-SAG,1452,1452,2106
1325.ARNI.NAR-SAG,673,673,1126
1350.BANDAMENNM.NAR-SAG,792,792,1228
1350.FINNBOGI.NAR-SAG,1585,1585,2388
1350.MARTA.REL-SAG,542,542,968
1400.GUNNAR.NAR-SAG,666,666,961
1400.GUNNAR2.NAR-SAG,191,191,348
1400.VIGLUNDUR.NAR-SAG,763,763,1303
1450.BANDAMENN.NAR-SAG,657,657,1071
1450.ECTORSSAGA.NAR-SAG,1187,1187,1978
1450.JUDIT.REL-BIB,187,187,465
1450.VILHJALMUR.NAR-SAG,1046,1046,2361
1475.AEVINTYRI.NAR-REL,596,596,1165
1480.JARLMANN.NAR-SAG,628,628,1258
1525.ERASMUS.NAR-SAG,197,197,460
1525.GEORGIUS.NAR-REL,376,376,1037
1540.NTACTS.REL-BIB,342,342,1142
1540.NTJOHN.REL-BIB,1056,1056,1760
1593.EINTAL.REL-OTH,718,718,1078
1611.OKUR.REL-OTH,401,401,575
1628.OLAFUREGILS.BIO-TRA,370,370,810
1630.GERHARD.REL-OTH,426,426,509
1650.ILLUGI.NAR-SAG,1315,1315,1926
1659.PISLARSAGA.BIO-AUT,160,160,314
1661.INDIAFARI.BIO-TRA,834,834,1352
1675.ARMANN.NAR-FIC,596,596,1058
1675.MAGNUS.BIO-OTH,120,120,201
1675.MODARS.NAR-FIC,229,229,381
1680.SKALHOLT.NAR-REL,487,487,826
1720.VIDALIN.REL-SER,641,641,939
1725.BISKUPASOGUR.NAR-REL,744,744,1040
1745.KLIM.NAR-FIC,558,558,865
1790.FIMMBRAEDRA.NAR-SAG,1006,1006,1660
1791.JONSTEINGRIMS.BIO-AUT,1052,1052,1514
1830.HELLISMENN.NAR-SAG,984,984,1413
1835.JONASEDLI.SCI-NAT,93,93,159
1850.PILTUR.NAR-FIC,753,753,1347
1859.HUGVEKJUR.REL-SER,543,543,841
1861.ORRUSTA.NAR-FIC,1029,1029,1736
1882.TORFHILDUR.NAR-FIC,1176,1176,1783
1883.VOGGUR.NAR-FIC,87,87,130
1888.GRIMUR.NAR-FIC,353,353,564
1888.VORDRAUMUR.NAR-FIC,405,405,673
1902.FOSSAR.NAR-FIC,1193,1193,1548
1907.LEYSING.NAR-FIC,1123,1123,1461
1908.OFUREFLI.NAR-FIC,1021,1021,1418
1920.ARIN.REL-SER,698,698,1007
1985.MARGSAGA.NAR-FIC,1073,1073,1535
1985.SAGAN.NAR-FIC,1136,1136,1510
2008.MAMMA.NAR-FIC,1055,1055,1630
2008.OFSI.NAR-SAG,643,643,1114
1150.FIRSTGRAMMAR.SCI-LIN,1,1,367
1150.HOMILIUBOK.REL-SER,42,42,3012
1210.JARTEIN.REL-SAG,2,2,658
1210.THORLAKUR.REL-SAG,3,3,851
1250.STURLUNGA.NAR-SAG,22,22,930
1250.THETUBROT.NAR-SAG,7,7,200
1260.JOMSVIKINGAR.NAR-SAG,6,6,1219
1270.GRAGAS.LAW-LAW,0,0,588
1275.MORKIN.NAR-HIS,73,73,1242
1300.ALEXANDER.NAR-SAG,28,28,1692
1310.GRETTIR.NAR-SAG,33,33,1057
1325.ARNI.NAR-SAG,7,7,1341
1350.BANDAMENNM.NAR-SAG,72,72,790
1350.FINNBOGI.NAR-SAG,71,71,1157
1350.MARTA.REL-SAG,22,22,1171
1400.GUNNAR.NAR-SAG,25,25,388
1400.GUNNAR2.NAR-SAG,4,4,135
1400.VIGLUNDUR.NAR-SAG,11,11,693
1450.BANDAMENN.NAR-SAG,64,64,661
1450.ECTORSSAGA.NAR-SAG,11,11,1087
1450.JUDIT.REL-BIB,13,13,400
1450.VILHJALMUR.NAR-SAG,29,29,1123
1475.AEVINTYRI.NAR-REL,37,37,1235
1480.JARLMANN.NAR-SAG,15,15,711
1525.ERASMUS.NAR-SAG,14,14,552
1525.GEORGIUS.NAR-REL,29,29,1405
1540.NTACTS.REL-BIB,51,51,1071
1540.NTJOHN.REL-BIB,133,133,1568
1593.EINTAL.REL-OTH,99,99,1706
1611.OKUR.REL-OTH,33,33,1026
1628.OLAFUREGILS.BIO-TRA,11,11,1034
1630.GERHARD.REL-OTH,78,78,886
1650.ILLUGI.NAR-SAG,9,9,994
1659.PISLARSAGA.BIO-AUT,3,3,797
1661.INDIAFARI.BIO-TRA,4,4,1412
1675.ARMANN.NAR-FIC,8,8,507
1675.MAGNUS.BIO-OTH,0,0,171
1675.MODARS.NAR-FIC,2,2,190
1680.SKALHOLT.NAR-REL,0,0,423
1720.VIDALIN.REL-SER,109,109,1840
1725.BISKUPASOGUR.NAR-REL,0,0,888
1745.KLIM.NAR-FIC,9,9,1610
1790.FIMMBRAEDRA.NAR-SAG,32,32,874
1791.JONSTEINGRIMS.BIO-AUT,16,16,1382
1830.HELLISMENN.NAR-SAG,9,9,575
1835.JONASEDLI.SCI-NAT,0,0,227
1850.PILTUR.NAR-FIC,71,71,964
1859.HUGVEKJUR.REL-SER,132,132,1362
1861.ORRUSTA.NAR-FIC,41,41,984
1882.TORFHILDUR.NAR-FIC,137,137,1215
1883.VOGGUR.NAR-FIC,0,0,106
1888.GRIMUR.NAR-FIC,20,20,331
1888.VORDRAUMUR.NAR-FIC,60,60,529
1902.FOSSAR.NAR-FIC,42,42,946
1907.LEYSING.NAR-FIC,18,18,909
1908.OFUREFLI.NAR-FIC,173,173,1020
1920.ARIN.REL-SER,93,93,1407
1985.MARGSAGA.NAR-FIC,69,69,1258
1985.SAGAN.NAR-FIC,143,143,1114
2008.MAMMA.NAR-FIC,107,107,1349
2008.OFSI.NAR-SAG,41,41,1322
