File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
1150.FIRSTGRAMMAR.SCI-LIN,1150,Non-fiction,366,25,49,128,1,391,178,569
1150.HOMILIUBOK.REL-SER,1150,Sermon,2970,356,606,1338,42,3326,1986,5312
1210.JARTEIN.REL-SAG,1210,ReligiousSaga,656,126,539,275,2,782,816,1598
1210.THORLAKUR.REL-SAG,1210,ReligiousSaga,848,128,274,275,3,976,552,1528
1250.STURLUNGA.NAR-SAG,1250,Saga,908,240,900,1332,22,1148,2254,3402
1250.THETUBROT.NAR-SAG,1250,Saga,193,34,87,143,7,227,237,464
1260.JOMSVIKINGAR.NAR-SAG,1260,Saga,1213,271,1037,480,6,1484,1523,3007
1270.GRAGAS.LAW-LAW,1270,Legal,588,65,112,181,0,653,293,946
1275.MORKIN.NAR-HIS,1275,Non-fiction,1169,276,1150,1074,73,1445,2297,3742
1300.ALEXANDER.NAR-SAG,1300,Saga,1664,298,536,775,28,1962,1339,3301
1310.GRETTIR.NAR-SAG,1310,Saga,1024,299,654,1452,33,1323,2139,3462
1325.ARNI.NAR-SAG,1325,Saga,1334,224,453,673,7,1558,1133,2691
1350.BANDAMENNM.NAR-SAG,1350,Saga,718,141,436,792,72,859,1300,2159
1350.FINNBOGI.NAR-SAG,1350,Saga,1086,339,803,1585,71,1425,2459,3884
1350.MARTA.REL-SAG,1350,ReligiousSaga,1149,178,426,542,22,1327,990,2317
1400.GUNNAR.NAR-SAG,1400,Saga,363,120,295,666,25,483,986,1469
1400.GUNNAR2.NAR-SAG,1400,Saga,131,34,157,191,4,165,352,517
1400.VIGLUNDUR.NAR-SAG,1400,Saga,682,175,540,763,11,857,1314,2171
1450.BANDAMENN.NAR-SAG,1450,Saga,597,126,414,657,64,723,1135,1858
1450.ECTORSSAGA.NAR-SAG,1450,Saga,1076,286,791,1187,11,1362,1989,3351
1450.JUDIT.REL-BIB,1450,Bible,387,51,278,187,13,438,478,916
1450.VILHJALMUR.NAR-SAG,1450,Saga,1093,238,1315,1046,29,1331,2390,3721
1475.AEVINTYRI.NAR-REL,1475,Religious,1198,175,569,596,37,1373,1202,2575
1480.JARLMANN.NAR-SAG,1480,Saga,696,214,630,628,15,910,1273,2183
1525.ERASMUS.NAR-SAG,1525,Saga,538,89,263,197,14,627,474,1101
1525.GEORGIUS.NAR-REL,1525,Religious,1376,230,661,376,29,1606,1066,2672
1540.NTACTS.REL-BIB,1540,Bible,1020,155,800,342,51,1175,1193,2368
1540.NTJOHN.REL-BIB,1540,Bible,1435,88,704,1056,133,1523,1893,3416
1593.EINTAL.REL-OTH,1593,Religious,1607,117,360,718,99,1724,1177,2901
1611.OKUR.REL-OTH,1611,Religious,993,124,174,401,33,1117,608,1725
1628.OLAFUREGILS.BIO-TRA,1628,Non-fiction,1023,145,440,370,11,1168,821,1989
1630.GERHARD.REL-OTH,1630,Religious,808,137,83,426,78,945,587,1532
1650.ILLUGI.NAR-SAG,1650,Saga,985,274,611,1315,9,1259,1935,3194
1659.PISLARSAGA.BIO-AUT,1659,Non-fiction,793,128,154,160,3,921,317,1238
1661.INDIAFARI.BIO-TRA,1661,Non-fiction,1408,327,518,834,4,1735,1356,3091
1675.ARMANN.NAR-FIC,1675,Fiction,499,162,462,596,8,661,1066,1727
