Period,N,Proportion,ClauseType
675,79,0.359090909,FiniteSubordinate
675,0,0,Nonfinite
675,15,0.068181818,Conjoined
675,126,0.572727273,Independent
775,563,0.409156977,FiniteSubordinate
775,15,0.010901163,Nonfinite
775,84,0.061046512,Conjoined
775,714,0.518895349,Independent
875,759,0.427846674,FiniteSubordinate
875,37,0.020856821,Nonfinite
875,118,0.066516347,Conjoined
875,860,0.484780158,Independent
975,25,0.367647059,FiniteSubordinate
975,1,0.014705882,Nonfinite
975,8,0.117647059,Conjoined
975,34,0.5,Independent
1075,266,0.31147541,FiniteSubordinate
1075,6,0.007025761,Nonfinite
1075,118,0.138173302,Conjoined
1075,464,0.543325527,Independent
