Period,N,Proportion,ClauseType
1250,33539,0.47132478,FiniteSubordinate
1250,6669,0.093719698,Nonfinite
1250,8484,0.119225959,Conjoined
1250,22467,0.315729563,Independent
1350,12111,0.44393534,FiniteSubordinate
1350,2849,0.104431656,Nonfinite
1350,4666,0.171034786,Conjoined
1350,7655,0.280598219,Independent
1525,7371,0.617181613,FiniteSubordinate
1525,1465,0.122665997,Nonfinite
1525,1641,0.137402663,Conjoined
1525,1466,0.122749728,Independent
1575,9761,0.566676343,FiniteSubordinate
1575,2141,0.124296081,Nonfinite
1575,2054,0.119245283,Conjoined
1575,3269,0.189782293,Independent
1625,12677,0.565306577,FiniteSubordinate
1625,2434,0.108539576,Nonfinite
1625,2036,0.090791527,Conjoined
1625,5278,0.235362319,Independent
1675,9308,0.488608924,FiniteSubordinate
1675,2361,0.123937008,Nonfinite
1675,1242,0.06519685,Conjoined
1675,6139,0.322257218,Independent
1725,14384,0.476401815,FiniteSubordinate
1725,4120,0.13645547,Nonfinite
1725,2206,0.073063293,Conjoined
1725,9483,0.314079422,Independent
1775,6637,0.399386208,FiniteSubordinate
1775,2312,0.139126249,Nonfinite
1775,1068,0.064267662,Conjoined
1775,6601,0.397219882,Independent
1825,7228,0.398720212,FiniteSubordinate
1825,2628,0.144969109,Nonfinite
1825,1725,0.095156664,Conjoined
1825,6547,0.361154016,Independent
