File,Hits,Tokens,Total
CGE305_800,0,0,12197
DSG,0,0,18223
JAR,0,0,11611
CHE,0,0,68
A_001_PSD,0,0,3815
A_003_PSD,0,0,2348
A_004_PART_PSD,0,0,1081
B_001_PSD,0,0,1702
B_003,0,0,713
B_005_PSD,0,0,1369
B_008,0,0,1173
C_001_PSD,0,0,2442
C_002_PSD,0,0,1133
C_003,0,0,592
C_005_PSD,0,0,1220
C_007_PART_PSD,0,0,1080
G_001_PSD,0,0,1364
G_004_PSD,0,0,2472
G_008_PSD,0,0,869
L_001,0,0,1733
M_003,0,0,2330
M_008,0,0,3211
O_001_PSD,0,0,1748
P_001_PSD,0,0,939
S_001_PSD,0,0,1948
S_004,0,0,2222
V_001,0,0,2297
V_002,0,0,1659
V_004_PART_PSD,0,0,1379
VA_002_PSD,0,0,2362
VA_009,0,0,1971
CGE305_800,12111,12111,12240
DSG,19893,19893,20532
JAR,13554,13554,13972
CHE,92,92,92
A_001_PSD,4328,4328,4354
A_003_PSD,2579,2579,2628
A_004_PART_PSD,1573,1573,1640
B_001_PSD,2239,2239,2282
B_003,644,644,863
B_005_PSD,1082,1082,1301
B_008,2143,2143,2209
C_001_PSD,3637,3637,3764
C_002_PSD,1953,1953,2011
C_003,778,778,995
C_005_PSD,884,884,1166
C_007_PART_PSD,2151,2151,2224
G_001_PSD,1400,1400,1415
G_004_PSD,1650,1650,2278
G_008_PSD,1780,1780,1800
L_001,4353,4353,4471
M_003,4392,4392,4569
M_008,2973,2973,2975
O_001_PSD,1589,1589,1703
P_001_PSD,3440,3440,3573
S_001_PSD,4008,4008,4164
S_004,2533,2533,3254
V_001,3886,3886,3978
V_002,4570,4570,4708
V_004_PART_PSD,2293,2293,2571
VA_002_PSD,1978,1978,2071
VA_009,2530,2530,2564
