File,Hits,Tokens,Total
CGE305_800.psd,2849,2570,7010
Demanda_Santo_Graal.psd,3973,3758,12436
Jose_Arimateia.psd,2671,2374,6438
Legal_docs.psd,25,24,71
a_001_psd.txt,1216,1169,4253
a_003_psd.txt,838,831,2571
a_004_part_psd.txt,475,473,1355
b_001_psd.txt,662,655,1950
b_003_psd.txt,41,40,2772
b_005_psd.txt,362,359,1837
b_008_psd.txt,554,545,1627
c_001_psd.txt,1113,1093,2991
c_002_psd.txt,493,483,1270
c_003_psd.txt,32,30,2718
c_005_psd.txt,372,369,2396
c_007_part_psd.txt,547,543,1258
g_001_psd.txt,338,336,1463
g_004_psd.txt,697,695,4258
g_008_psd.txt,363,355,911
l_001_psd.txt,914,886,1901
m_003_psd.txt,1010,996,2853
m_008_psd.txt,652,581,2174
o_001_psd.txt,570,568,2263
p_001_psd.txt,555,534,1050
s_001_psd.txt,889,871,2348
s_004_psd.txt,635,623,4373
v_001_psd.txt,1156,1140,2406
v_002_psd.txt,879,853,1964
v_004_part_psd.txt,472,462,2201
va_002_psd.txt,858,841,3191
va_009_psd.txt,768,731,1799
