File,Hits,Tokens,Total
CGE305_800,4666,4666,12197
DSG,5369,5369,18223
JAR,3092,3092,11611
CHE,23,23,68
A_001_PSD,715,715,3815
A_003_PSD,630,630,2348
A_004_PART_PSD,284,284,1081
B_001_PSD,397,397,1702
B_003,248,248,713
B_005_PSD,302,302,1369
B_008,335,335,1173
C_001_PSD,359,359,2442
C_002_PSD,256,256,1133
C_003,265,265,592
C_005_PSD,177,177,1220
C_007_PART_PSD,603,603,1080
G_001_PSD,618,618,1364
G_004_PSD,423,423,2472
G_008_PSD,422,422,869
L_001,717,717,1733
M_003,470,470,2330
M_008,254,254,3211
O_001_PSD,301,301,1748
P_001_PSD,616,616,939
S_001_PSD,719,719,1948
S_004,453,453,2222
V_001,679,679,2297
V_002,673,673,1659
V_004_PART_PSD,380,380,1379
VA_002_PSD,492,492,2362
VA_009,184,184,1971
CGE305_800,0,0,12240
DSG,0,0,20532
JAR,0,0,13972
CHE,0,0,92
A_001_PSD,0,0,4354
A_003_PSD,0,0,2628
A_004_PART_PSD,0,0,1640
B_001_PSD,0,0,2282
B_003,0,0,863
B_005_PSD,0,0,1301
B_008,0,0,2209
C_001_PSD,0,0,3764
C_002_PSD,0,0,2011
C_003,0,0,995
C_005_PSD,0,0,1166
C_007_PART_PSD,0,0,2224
G_001_PSD,0,0,1415
G_004_PSD,0,0,2278
G_008_PSD,0,0,1800
L_001,0,0,4471
M_003,0,0,4569
M_008,0,0,2975
O_001_PSD,0,0,1703
P_001_PSD,0,0,3573
S_001_PSD,0,0,4164
S_004,0,0,3254
V_001,0,0,3978
V_002,0,0,4708
V_004_PART_PSD,0,0,2571
VA_002_PSD,0,0,2071
VA_009,0,0,2564
