File,Hits,Tokens,Total
CGE305_800,7531,7531,12197
DSG,12854,12854,18223
JAR,8519,8519,11611
CHE,45,45,68
A_001_PSD,3100,3100,3815
A_003_PSD,1718,1718,2348
A_004_PART_PSD,797,797,1081
B_001_PSD,1305,1305,1702
B_003,465,465,713
B_005_PSD,1067,1067,1369
B_008,838,838,1173
C_001_PSD,2083,2083,2442
C_002_PSD,877,877,1133
C_003,327,327,592
C_005_PSD,1043,1043,1220
C_007_PART_PSD,477,477,1080
G_001_PSD,746,746,1364
G_004_PSD,2049,2049,2472
G_008_PSD,447,447,869
L_001,1016,1016,1733
M_003,1860,1860,2330
M_008,2957,2957,3211
O_001_PSD,1447,1447,1748
P_001_PSD,323,323,939
S_001_PSD,1229,1229,1948
S_004,1769,1769,2222
V_001,1618,1618,2297
V_002,986,986,1659
V_004_PART_PSD,999,999,1379
VA_002_PSD,1870,1870,2362
VA_009,1787,1787,1971
CGE305_800,124,124,12240
DSG,637,637,20532
JAR,412,412,13972
CHE,0,0,92
A_001_PSD,26,26,4354
A_003_PSD,47,47,2628
A_004_PART_PSD,63,63,1640
B_001_PSD,43,43,2282
B_003,42,42,863
B_005_PSD,216,216,1301
B_008,59,59,2209
C_001_PSD,124,124,3764
C_002_PSD,58,58,2011
C_003,23,23,995
C_005_PSD,275,275,1166
C_007_PART_PSD,70,70,2224
G_001_PSD,15,15,1415
G_004_PSD,555,555,2278
G_008_PSD,19,19,1800
L_001,110,110,4471
M_003,176,176,4569
M_008,2,2,2975
O_001_PSD,104,104,1703
P_001_PSD,130,130,3573
S_001_PSD,153,153,4164
S_004,671,671,3254
V_001,92,92,3978
V_002,122,122,4708
V_004_PART_PSD,278,278,2571
VA_002_PSD,78,78,2071
VA_009,32,32,2564
