File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
CGE305_800,1344,Narrative,12111,2849,4666,7531,124,14960,12321,27281
DSG,1250,Narrative,19893,3973,5369,12854,637,23866,18860,42726
JAR,1250,Narrative,13554,2671,3092,8519,412,16225,12023,28248
CHE,1281,Legal,92,25,23,45,0,117,68,185
A_001_PSD,1705,Dissertation,4328,1216,715,3100,26,5544,3841,9385
A_003_PSD,1802,Narrative,2579,838,630,1718,47,3417,2395,5812
A_004_PART_PSD,1750,Letters,1573,475,284,797,63,2048,1144,3192
B_001_PSD,1675,Narrative,2239,662,397,1305,43,2901,1745,4646
B_003,1644,Narrative,644,41,248,465,42,685,755,1440
B_005_PSD,1826,Narrative,1082,362,302,1067,216,1444,1585,3029
B_008,1651,Letters,2143,554,335,838,59,2697,1232,3929
C_001_PSD,1702,Letters,3637,1113,359,2083,124,4750,2566,7316
C_002_PSD,1658,Narrative,1953,493,256,877,58,2446,1191,3637
C_003,1631,Letters,778,32,265,327,23,810,615,1425
C_005_PSD,1757,Drama,884,372,177,1043,275,1256,1495,2751
C_007_PART_PSD,1542,Narrative,2151,547,603,477,70,2698,1150,3848
G_001_PSD,1597,News,1400,338,618,746,15,1738,1379,3117
G_004_PSD,1799,Drama,1650,697,423,2049,555,2347,3027,5374
G_008_PSD,1502,Narrative,1780,363,422,447,19,2143,888,3031
L_001,1579,Narrative,4353,914,717,1016,110,5267,1843,7110
M_003,1608,Letters,4392,1010,470,1860,176,5402,2506,7908
M_008,1673,News,2973,652,254,2957,2,3625,3213,6838
O_001_PSD,1836,Letters,1589,570,301,1447,104,2159,1852,4011
P_001_PSD,1510,Narrative,3440,555,616,323,130,3995,1069,5064
S_001_PSD,1556,Narrative,4008,889,719,1229,153,4897,2101,6998
S_004,1705,Drama,2533,635,453,1769,671,3168,2893,6061
V_001,1713,Grammar,3886,1156,679,1618,92,5042,2389,7431
V_002,1608,Letters,4570,879,673,986,122,5449,1781,7230
V_004_PART_PSD,1608,Dissertation,2293,472,380,999,278,2765,1657,4422
VA_002_PSD,1830,Records,1978,858,492,1870,78,2836,2440,5276
VA_009,1750,News,2530,768,184,1787,32,3298,2003,5301
